region,explicit_dropout_esl_pct,implicit_dropout_grade13_pct,total_dispersion_index_pct,invalsi_math_score_dev
Abruzzo,9.4,8.2,17.6,-14.2
Basilicata,10.2,11.5,21.7,-21.5
Calabria,14.9,18.8,33.7,-34.8
Campania,16.4,19.8,36.2,-36.5
Emilia-Romagna,8.2,5.1,13.3,18.4
Friuli-Venezia Giulia,7.8,4.8,12.6,21.2
Lazio,9.8,7.9,17.7,-2.4
Liguria,10.5,6.8,17.3,5.1
Lombardia,8.9,4.9,13.8,24.5
Marche,8.5,6.2,14.7,12.8
Molise,9.1,9.8,18.9,-18.2
Piemonte,9.6,5.8,15.4,16.2
Puglia,15.2,16.2,31.4,-28.4
Sardegna,17.3,18.5,35.8,-31.2
Sicilia,18.8,21.4,40.2,-38.9
Toscana,8.8,5.9,14.7,14.5
Trentino-Alto Adige,7.1,3.8,10.9,32.1
Umbria,8.4,6.5,14.9,9.8
Valle d'Aosta,9.2,5.2,14.4,15.8
Veneto,8.5,4.5,13.0,26.8
