covid_period,classe_eta,sex_label,mean_neet_obs_value,pre_covid_mean_neet_obs_value,delta_vs_pre_covid_pp,pct_change_vs_pre_covid
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à5à-à1à9à,àfàeàmàaàlàeà,60.48225,58.733490625,1.7487593749999988,2.9774483968021417
àpàràeà_àcàoàvàiàdà,àYà1à5à-à1à9à,àfàeàmàaàlàeà,58.733490625,58.733490625,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à5à-à1à9à,àmàaàlàeà,69.113375,70.556628125,-1.4432531249999982,-2.045524514639635
àpàràeà_àcàoàvàiàdà,àYà1à5à-à1à9à,àmàaàlàeà,70.556628125,70.556628125,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à5à-à1à9à,àtàoàtàaàlà,129.5954375,129.290065625,0.3053718749999916,0.2361912908960143
àpàràeà_àcàoàvàiàdà,àYà1à5à-à1à9à,àtàoàtàaàlà,129.290065625,129.290065625,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à5à-à2à4à,àfàeàmàaàlàeà,172.2852714285714,180.21833571428573,-7.933064285714323,-4.401918514157868
àpàràeà_àcàoàvàiàdà,àYà1à5à-à2à4à,àfàeàmàaàlàeà,180.21833571428573,180.21833571428573,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à5à-à2à4à,àmàaàlàeà,181.1919,188.41505142857145,-7.223151428571413,-3.833638222533261
àpàràeà_àcàoàvàiàdà,àYà1à5à-à2à4à,àmàaàlàeà,188.41505142857145,188.41505142857145,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à5à-à2à4à,àtàoàtàaàlà,281.17625,293.6633467391304,-12.487096739130436,-4.2521808995874055
àpàràeà_àcàoàvàiàdà,àYà1à5à-à2à4à,àtàoàtàaàlà,293.6633467391304,293.6633467391304,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à5à-à2à9à,àfàeàmàaàlàeà,358.3803571428571,367.6961128571429,-9.315755714285729,-2.533547510714393
àpàràeà_àcàoàvàiàdà,àYà1à5à-à2à9à,àfàeàmàaàlàeà,367.6961128571429,367.6961128571429,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à5à-à2à9à,àmàaàlàeà,306.0366,309.4766028571429,-3.440002857142872,-1.1115550659998703
àpàràeà_àcàoàvàiàdà,àYà1à5à-à2à9à,àmàaàlàeà,309.4766028571429,309.4766028571429,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à5à-à2à9à,àtàoàtàaàlà,528.6176304347827,539.4309402173914,-10.813309782608712,-2.004577226929352
àpàràeà_àcàoàvàiàdà,àYà1à5à-à2à9à,àtàoàtàaàlà,539.4309402173914,539.4309402173914,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à5à-à3à4à,àfàeàmàaàlàeà,572.1739285714286,591.4007257142857,-19.22679714285709,-3.251060796321349
àpàràeà_àcàoàvàiàdà,àYà1à5à-à3à4à,àfàeàmàaàlàeà,591.4007257142857,591.4007257142857,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à5à-à3à4à,àmàaàlàeà,405.7007,411.50079,-5.800089999999955,-1.409496686506958
àpàràeà_àcàoàvàiàdà,àYà1à5à-à3à4à,àmàaàlàeà,411.50079,411.50079,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à5à-à3à4à,àtàoàtàaàlà,777.9392717391304,798.6826891304347,-20.74341739130432,-2.59720382995764
àpàràeà_àcàoàvàiàdà,àYà1à5à-à3à4à,àtàoàtàaàlà,798.6826891304347,798.6826891304347,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à8à-à2à9à,àfàeàmàaàlàeà,343.562,352.8951957142857,-9.333195714285694,-2.644750007263381
àpàràeà_àcàoàvàiàdà,àYà1à8à-à2à9à,àfàeàmàaàlàeà,352.8951957142857,352.8951957142857,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à8à-à2à9à,àmàaàlàeà,290.6000142857143,291.72182285714285,-1.1218085714285737,-0.3845473610583898
àpàràeà_àcàoàvàiàdà,àYà1à8à-à2à9à,àmàaàlàeà,291.72182285714285,291.72182285714285,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà1à8à-à2à9à,àtàoàtàaàlà,504.65156521739135,513.5817076086956,-8.930142391304287,-1.7387968183065186
àpàràeà_àcàoàvàiàdà,àYà1à8à-à2à9à,àtàoàtàaàlà,513.5817076086956,513.5817076086956,0.0,0.0
àcàoàvàiàdà_àsàhàoàcàkà,àYà2à0à-à2à4à,àfàeàmàaàlàeà,151.727125,167.893265625,-16.166140624999997,-9.628820170255114
àpàràeà_àcàoàvàiàdà,àYà2à0à-à2à4à,àfàeàmàaàlàeà,167.893265625,167.893265625,0.0,0.0
