region,macro_area,licei_share_pct,tecnici_share_pct,professionali_share_pct,neet_rate_15_29_pct,bocciature_grade9_pct,implicit_dropout_pct,industrial_absorption_index,orientation_profile
àLàoàmàbàaàràdàiàaà,àNàoàràdà-àOàvàeàsàtà,51.2,34.5,14.3,11.2,7.4,4.9,88.5,àHàiàgàhà àTàeàcàhànàiàcàaàlà-àVàoàcàaàtàiàoànàaàlà àAàbàsàoàràpàtàiàoànà à(àMàeàcàhàaàtàràoànàiàcàsà/àSàeàràvàiàcàeàsà àdàiàsàtàràiàcàtà àbàuàfàfàeàrà àpàràeàvàeànàtàsà àNàEàEàTà àtàràaàpà)à
àPàiàeàmàoànàtàeà,àNàoàràdà-àOàvàeàsàtà,52.4,32.8,14.8,13.5,8.1,5.8,82.0,àHàiàgàhà àTàeàcàhànàiàcàaàlà àAàbàsàoàràpàtàiàoànà à(àAàuàtàoàmàoàtàiàvàeà à&à àMàaànàuàfàaàcàtàuàràiànàgà àlàiànàkà àeàaàsàeàsà àsàcàhàoàoàlà-àtàoà-àwàoàràkà àtàràaànàsàiàtàiàoànà)à
àLàiàgàuàràiàaà,àNàoàràdà-àOàvàeàsàtà,56.8,29.4,13.8,14.2,8.9,6.8,74.5,àMàoàdàeàràaàtàeà àTàeàcàhànàiàcàaàlà àAàbàsàoàràpàtàiàoànà à(àMàaàràiàtàiàmàeà à&à àLàoàgàiàsàtàiàcàsà àtàràaànàsàiàtàiàoànàsà àbàaàlàaànàcàeàdà àwàiàtàhà àtàeàràtàiàaàràyà àaàcàaàdàeàmàiàcà àpàaàtàhàsà)à
àVàaàlàlàeà àdà'àAàoàsàtàaà,àNàoàràdà-àOàvàeàsàtà,48.5,36.2,15.3,9.5,6.8,5.2,85.0,àSàtàràoànàgà àTàeàcàhànàiàcàaàlà-àVàoàcàaàtàiàoànàaàlà àSàyànàeàràgàyà à(àTàoàuàràiàsàmà à&à àMàoàuànàtàaàiànà àEàcàoànàoàmàyà àdàiàràeàcàtà àpàlàaàcàeàmàeànàtà)à
àVàeànàeàtàoà,àNàoàràdà-àEàsàtà,46.8,37.4,15.8,10.1,6.5,4.5,92.4,àPàeàaàkà àTàeàcàhànàiàcàaàlà àAàlàiàgànàmàeànàtà à(àNàoàràdà-àEàsàtà àiànàdàuàsàtàràiàaàlà àdàiàsàtàràiàcàtà àmàoàdàeàlà àdàiàràeàcàtàlàyà àaàbàsàoàràbàsà àTàeàcànàiàcàià/àPàràoàfàeàsàsàiàoànàaàlàià)à
àEàmàiàlàiàaà-àRàoàmàaàgànàaà,àNàoàràdà-àEàsàtà,47.5,36.8,15.7,9.8,6.2,5.1,94.0,àPàeàaàkà àTàeàcàhànàiàcàaàlà à&à àIàTàSà àAàcàaàdàeàmàyà àSàyànàeàràgàyà à(àMàoàtàoàrà àVàaàlàlàeàyà à&à àPàaàcàkàaàgàiànàgà àcàlàuàsàtàeàràsà àeànàsàuàràeà àiàmàmàeàdàiàaàtàeà àyàoàuàtàhà àhàiàràiànàgà)à
àFàràiàuàlàià-àVàeànàeàzàiàaà àGàiàuàlàiàaà,àNàoàràdà-àEàsàtà,49.2,35.6,15.2,9.9,6.4,4.8,90.2,àSàtàràoànàgà àTàeàcàhànàiàcàaàlà àAàbàsàoàràpàtàiàoànà à(àSàhàiàpàbàuàiàlàdàiànàgà à&à àSàpàeàcàiàaàlàiàzàeàdà àMàeàcàhàaànàiàcàsà àdàiàràeàcàtà àtàràaànàsàiàtàiàoànà)à
àTàràeànàtàiànàoà-àAàlàtàoà àAàdàiàgàeà,àNàoàràdà-àEàsàtà,42.4,38.5,19.1,8.2,5.4,3.8,96.5,àDàuàaàlà àAàpàpàràeànàtàiàcàeàsàhàiàpà àMàoàdàeàlà à(àSàtàràoànàgà àGàeàràmàaànà-àsàtàyàlàeà àdàuàaàlà àvàoàcàaàtàiàoànàaàlà àiànàtàeàgàràaàtàiàoànà àmàiànàiàmàiàzàeàsà àNàEàEàTà àiànàcàiàdàeànàcàeà)à
àTàoàsàcàaànàaà,àCàeànàtàràoà,54.2,31.5,14.3,11.8,7.8,5.9,79.5,"àBàaàlàaànàcàeàdà àAàcàaàdàeàmàiàcà-àTàeàcàhànàiàcàaàlà àMàiàxà à(àAàràtàiàsàaànàaàlà,à àFàaàsàhàiàoànà,à àaànàdà àBàiàoàmàeàdàiàcàaàlà àcàlàuàsàtàeàràsà àsàuàpàpàoàràtà àtàràaànàsàiàtàiàoànà)à"
àLàaàzàiàoà,àCàeànàtàràoà,62.4,25.8,11.8,14.5,8.6,7.9,72.0,àLàiàcàeàoà àOàvàeàrà-àCàoànàcàeànàtàràaàtàiàoànà à(àHàeàaàvàyà àaàcàaàdàeàmàiàcà àtàràaàcàkàiànàgà àtàoàwàaàràdà àPàuàbàlàiàcà àAàdàmàiànàiàsàtàràaàtàiàoànà à&à àTàeàràtàiàaàràyà àsàeàcàtàoàrà)à
àMàaàràcàhàeà,àCàeànàtàràoà,51.8,33.4,14.8,12.5,7.5,6.2,81.2,àDàiàsàtàràiàcàtà àTàeàcàhànàiàcàaàlà àAàbàsàoàràpàtàiàoànà à(àFàoàoàtàwàeàaàrà à&à àMàeàcàhàaànàiàcàaàlà àdàiàsàtàràiàcàtàsà àeàaàsàeà àvàoàcàaàtàiàoànàaàlà àtàràaànàsàiàtàiàoànàsà)à
àUàmàbàràiàaà,àCàeànàtàràoà,55.4,30.2,14.4,13.2,7.9,6.5,75.8,àMàoàdàeàràaàtàeà àAàcàaàdàeàmàiàcà àTàràaàcàkàiànàgà à(àUànàiàvàeàràsàiàtàyà-àoàràiàeànàtàeàdà àtàràaànàsàiàtàiàoànàsà àwàiàtàhà àlàoàcàaàlàiàzàeàdà àiànàdàuàsàtàràiàaàlà àpàlàaàcàeàmàeànàtà)à
àCàaàmàpàaànàiàaà,àSàuàdà,58.6,28.4,13.0,28.6,13.8,19.8,38.5,àSàeàvàeàràeà àOàràiàeànàtàaàtàiàoànà àMàiàsàmàaàtàcàhà à&à àTàràaànàsàiàtàiàoànà àTàràaàpà à(àHàiàgàhà àLàiàcàeàoà àsàhàaàràeà àlàaàcàkàsà àlàoàcàaàlà àRà&àDà/àcàoàràpàoàràaàtàeà àaàbàsàoàràpàtàiàoànà;à àPàràoàfàeàsàsàiàoànàaàlàià àfàaàcàeà àhàiàgàhà àdàràoàpàoàuàtà àaànàdà àiànàfàoàràmàaàlà àlàaàbàoàrà àtàràaàpàsà)à
àPàuàgàlàiàaà,àSàuàdà,56.2,30.1,13.7,23.4,11.5,16.2,48.0,àSàtàràuàcàtàuàràaàlà àTàràaànàsàiàtàiàoànà àBàoàtàtàlàeànàeàcàkà à(àTàeàcàhànàiàcàaàlà àgàràaàdàuàaàtàeàsà àfàaàcàeà àràeàgàiàoànàaàlà àjàoàbà àdàeàfàiàcàiàtà;à àhàiàgàhà àoàuàtà-àmàiàgàràaàtàiàoànà)à
àCàaàlàaàbàràiàaà,àSàuàdà,59.4,27.8,12.8,27.1,14.2,18.8,34.2,àAàcàuàtàeà àTàràiàpàaàràtàiàtàeà àFàràaàcàtàuàràeà à(àHàiàgàhà àaàcàaàdàeàmàiàcà àtàràaàcàkàiànàgà àcàoàmàbàiànàeàdà àwàiàtàhà àiànàdàuàsàtàràiàaàlà àdàeàsàeàràtàiàfàiàcàaàtàiàoànà àdàràiàvàeàsà àhàiàgàhà àNàEàEàTà àaànàdà àyàoàuàtàhà àbàràaàiànà àdàràaàiànà)à
àAàbàràuàzàzàoà,àSàuàdà,53.8,32.1,14.1,16.8,9.4,8.2,65.4,àTàràaànàsàiàtàiàoànàaàlà àSàoàuàtàhàeàrànà àBàràiàdàgàeà à(àVàaàlà àdàià àSàaànàgàràoà àaàuàtàoàmàoàtàiàvàeà àdàiàsàtàràiàcàtà àpàràoàvàiàdàeàsà àbàeàtàtàeàrà àtàeàcàhànàiàcàaàlà àaàbàsàoàràpàtàiàoànà àtàhàaànà àdàeàeàpà àSàoàuàtàhà)à
àBàaàsàiàlàiàcàaàtàaà,àSàuàdà,57.2,29.5,13.3,21.5,10.8,11.5,52.0,àDàeàmàoàgàràaàpàhàiàcà à&à àIànàdàuàsàtàràiàaàlà àBàoàtàtàlàeànàeàcàkà à(àHàiàgàhà àaàcàaàdàeàmàiàcà àoàràiàeànàtàaàtàiàoànà àmàeàeàtàsà àsàhàràiànàkàiànàgà àlàoàcàaàlà àlàaàbàoàrà àdàeàmàaànàdà)à
àMàoàlàiàsàeà,àSàuàdà,56.5,30.2,13.3,19.2,10.1,9.8,55.0,àSàcàaàlàeà à&à àOàràiàeànàtàaàtàiàoànà àCàhàaàlàlàeànàgàeà à(àSàmàaàlàlà àcàoàhàoàràtà àtàràaàcàkàiànàgà àlàeàaàdàsà àtàoà àhàiàgàhà àoàuàtà-àmàiàgàràaàtàiàoànà àtàoà àNàoàràtàhàeàrànà àtàeàcàhànàiàcàaàlà àhàuàbàsà)à
àSàiàcàiàlàiàaà,àIàsàoàlàeà,59.8,27.2,13.0,27.9,14.5,21.4,36.8,àSàeàvàeàràeà àOàràiàeànàtàaàtàiàoànà àMàiàsàmàaàtàcàhà à&à àUàràbàaànà àPàeànàaàlàtàyà à(àOàvàeàrà-àcàoànàcàeànàtàràaàtàiàoànà àiànà àLàiàcàeàià àmàeàeàtàsà àlàoàwà àfàoàràmàaàlà àhàiàràiànàgà;à àPàràoàfàeàsàsàiàoànàaàlàià àfàaàcàeà àhàiàgàhà àiàmàpàlàiàcàiàtà àdàràoàpàoàuàtà àaànàdà àiànàfàoàràmàaàlà àlàaàbàoàrà àdàeàpàeànàdàeànàcàyà)à
