year,public_pct_gdp_owid,public_pct_govexp_owid,state_pct_gdp,parents_private_pct_gdp,total_pct_gdp,state_share_of_total_pct,parents_private_share_of_total_pct,state_usd_ppp,parents_private_usd_ppp,total_usd_ppp,siope_school_expenditure_eur,siope_school_count,siope_series_note
1913,0.6,,,,,,,,,,,,
1937,1.6,,,,,,,,,,,,
1960,3.6,,,,,,,,,,,,
1970,3.36681,,,,,,,,,,,,
1971,2.89877,,,,,,,,,,,,
1974,3.83514,,,,,,,,,,,,
1975,3.71161,,,,,,,,,,,,
1976,3.91952,,,,,,,,,,,,
1978,3.78036,,,,,,,,,,,,
1979,4.16373,,,,,,,,,,,,
1980,4.4,,,,,,,,,,,,
1983,4.48806,,,,,,,,,,,,
1984,4.77457,,,,,,,,,,,,
1985,4.68981,,,,,,,,,,,,
1986,4.6549,,,,,,,,,,,,
1988,4.59277,,,,,,,,,,,,
1993,4.73389,,,,,,,,,,,,
1994,4.43331,,,,,,,,,,,,
1995,4.31865,8.451828,,,,,,,,,,,
1996,4.44764,8.727201,,,,,,,,,,,
1997,,9.021955,,,,,,,,,,,
1998,4.45031,9.220395,,,,,,,,,,,
1999,4.51085,9.388377,,,,,,,,,,,
2000,4.29108,9.321593,,,,,,,,,,,
2001,4.65009,9.335922,,,,,,,,,,,
2002,4.43241,9.507875,,,,,,,,,,,
2003,4.54179,9.63621,,,,,,,,,,,
2004,4.3852,9.217767,,,,,,,,,,,
2005,4.2383,9.408569,,,,,,,,,,,
2006,4.52545,9.153534,,,,,,,,,,,
2007,4.10503,9.450937,,,,,,,,,,,
2008,4.38795,8.963029,,,,,,,,,,,
2009,4.52372,8.86478,,,,,,,,,,,
2010,4.33412,8.706914,,,,,,,,,,,
2011,4.11568,8.258438,,,,,,,,,,,
2012,4.05602,8.01843,,,,,,,,,,,
2013,4.14367,8.021049,,,,,,,,,,,
2014,4.06128,7.9423513,,,,,,,,,,,
2015,4.07363,7.943845,3.32781551968141,0.481857340454934,3.90682134378402,85.17961859136847,12.33374393281629,92599.9303657106,13408.1820066171,108711.37004022,,,
2016,3.81579,7.8623734,3.11002952435868,0.452398999774257,3.60115657970521,86.36196331716425,12.562602868306453,87609.6321833893,12744.0944402381,101444.697200367,,,
2017,4.04494,7.917691,3.30943873090921,0.473907960651032,3.83382753613801,86.32205543191841,12.361222725433834,94722.0765824509,13564.0964501215,109731.025412338,,,
2018,4.25614,8.111641,3.47261484834378,0.56772407776956,4.08216906772425,85.06788402763745,13.9074121710999,100214.095005708,16383.6063460253,117804.852149784,,,
2019,4.09527,8.047363,3.29965741845036,0.510871681691609,3.83374096790651,86.06886709542633,13.32567030397414,95631.481333813,14806.2084925801,111110.421876222,,,
2020,4.44136,7.4938817,3.6155639968793,0.513344557604649,4.16309302945686,86.84802312359109,12.330845214660592,95494.406065552,13558.4748818584,109955.76252744,21471980.05,77.0,annual total
2021,4.21829,7.437162,3.41742475387632,0.513617684092467,4.00424306419167,85.34508767554496,12.826835830360562,98322.4240870333,14777.2487738488,115205.721576881,41571286.33,81.0,annual total
2022,3.955855,,3.32550643467073,0.490998520472824,3.8709779075407,85.90869062291998,12.6840951356595,100290.649044868,14807.53721746,116740.981986415,51995014.12,105.0,annual total
2023,,,,,,,,,,,125062393.8,388.0,annual total
2024,,,,,,,,,,,357022745.42,2138.0,annual total
2025,,,,,,,,,,,658393461.13,3267.0,annual total
2026,,,,,,,,,,,274015585.68,1903.0,in-year / partial
