Regione,Macro_Area,Edifici_Scolastici_Totali,Perc_Certificato_Agibilita,Perc_Verifica_Antisismica,Perc_Barriere_Architettoniche_Superate,PNRR_Fondi_Mense_Palestre_Mln_EUR,Fonte_Ufficiale
Lombardia,Nord-Ovest,5420,64.2,48.5,58.1,245.0,MIM Anagrafe SNAES / PNRR Open Data
Piemonte,Nord-Ovest,3110,61.8,46.2,54.3,138.5,MIM Anagrafe SNAES / PNRR Open Data
Veneto,Nord-Est,3650,66.5,51.0,61.0,165.2,MIM Anagrafe SNAES / PNRR Open Data
Emilia-Romagna,Nord-Est,3280,71.4,55.8,64.8,182.0,MIM Anagrafe SNAES / PNRR Open Data
Toscana,Centro,2940,58.9,44.1,52.0,142.0,MIM Anagrafe SNAES / PNRR Open Data
Lazio,Centro,4120,49.2,36.4,43.5,198.4,MIM Anagrafe SNAES / PNRR Open Data
Campania,Sud+Isole,4680,34.5,24.8,31.2,310.5,MIM Anagrafe SNAES / PNRR Open Data
Puglia,Sud+Isole,3150,38.2,27.5,34.8,215.0,MIM Anagrafe SNAES / PNRR Open Data
Sicilia,Sud+Isole,4850,28.4,21.2,28.6,345.8,MIM Anagrafe SNAES / PNRR Open Data
Calabria,Sud+Isole,2140,26.8,19.5,26.4,158.2,MIM Anagrafe SNAES / PNRR Open Data
