Regione,istat_giovani_18_34_coabitanti_con_genitori_pct,istat_famiglie_dipendenti_da_cura_informale_nonni_pct,inapp_giovani_over25_con_supporto_finanziario_genitori_pct,note_scientifiche
PIEMONTE,61.2,58.4,48.5,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
VALLE D'AOSTA,61.2,58.4,48.5,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
LOMBARDIA,61.2,58.4,48.5,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
TRENTINO-ALTO ADIGE,61.2,58.4,48.5,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
VENETO,61.2,58.4,48.5,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
FRIULI VENEZIA GIULIA,61.2,58.4,48.5,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
LIGURIA,61.2,58.4,48.5,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
EMILIA ROMAGNA,61.2,58.4,48.5,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
TOSCANA,66.4,62.1,54.2,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
UMBRIA,66.4,62.1,54.2,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
MARCHE,66.4,62.1,54.2,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
LAZIO,66.4,62.1,54.2,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
ABRUZZO,76.8,71.5,68.9,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
MOLISE,76.8,71.5,68.9,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
CAMPANIA,76.8,71.5,68.9,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
PUGLIA,76.8,71.5,68.9,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
BASILICATA,76.8,71.5,68.9,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
CALABRIA,76.8,71.5,68.9,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
SICILIA,76.8,71.5,68.9,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
SARDEGNA,76.8,71.5,68.9,La carenza di servizi di welfare pubblico per l'infanzia e la precarietà salariale giovanile rendono la famiglia d'origine l'ammortizzatore sociale e intergenerazionale di ultima istanza.
