Regione,Macroarea,istat_spesa_sociale_comuni_procapite_infanzia_euro_n,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,179.9,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,161.5,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,163.0,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,166.3,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,168.4,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,167.4,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,165.6,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,190.8,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,126.2,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,124.7,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,125.0,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,117.9,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,46.3,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,47.6,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,49.0,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,53.7,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,45.9,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,48.8,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,49.5,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,46.8,ISTAT Bilanci Sociali Enti Locali,Verificato e Certificato - Osservatorio Italienation
