Regione,Macroarea,invalsi_dispersione_occulta_provinciale_media_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,6.6,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,6.6,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,6.4,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,7.0,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,6.2,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,6.7,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,6.9,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,6.0,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,10.3,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,8.7,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,10.0,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,9.6,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,20.0,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,18.9,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,19.5,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,20.2,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,19.7,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,19.5,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,19.7,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,18.6,INVALSI Dispersione Occulta Provinciale NUTS-3,Verificato e Certificato - Osservatorio Italienation
