Regione,Macroarea,invalsi_divario_punteggio_licei_vs_professionali_punti_n,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,48.4,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,49.2,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,44.9,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,49.9,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,50.2,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,48.5,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,50.6,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,46.5,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,49.4,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,51.0,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,55.0,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,55.2,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,65.5,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,64.1,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,62.0,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,63.3,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,65.6,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,66.9,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,65.4,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,64.8,INVALSI Esiti per Indirizzo di Studio,Verificato e Certificato - Osservatorio Italienation
