id,status,file,rows,cols,nan_pct,time_range,issues
istat_repeaters_upper_secondary,OK,local_data/processed/istat_repeaters_upper_secondary_latest.csv,528,10,0.0,2024,[]
invalsi_implicit_dropout_and_excellence,OK,local_data/processed/invalsi_implicit_dropout_and_excellence_regional.csv,8389,5,0.0,2017-2024,[]
openpolis_istat_neet_15_29,OK,local_data/processed/neet_regional_model_panel.csv,198,23,23.47,2016-2024,[]
almalaurea_graduate_precariato_and_wages,ISSUES_FOUND,local_data/processed/almalaurea_graduate_outcomes_1yr_summary.csv,203,3,61.41,Static/Cross-section,['High missing values rate (61.41% NaNs)']
mur_university_tuition_and_dropout,OK,local_data/processed/catania_educational_pipeline_case_study.csv,6,7,0.0,Static/Cross-section,[]
siope_municipal_school_expenditure,OK,local_data/processed/siope_expenditure_by_region_year.csv,2,215,3.72,2024-2025,[]
mim_school_building_safety_registry,OK,local_data/processed/ministerial_school_building_safety_by_region.csv,18,6,0.0,Static/Cross-section,[]
anpal_youth_unemployment_and_replacement,OK,local_data/processed/anpal_youth_unemployment_processed.csv,948,11,17.69,2005-2025,[]
oecd_wb_tracking_age_vs_tertiary,ISSUES_FOUND,local_data/processed/global_italy_position_oecd_wb_latest.csv,252,54,52.13,1986-2025,['High missing values rate (52.13% NaNs)']
inps_dual_system_apprenticeship,OK,local_data/processed/inps_apprenticeship_informal_hits_2026-05-24.csv,9,5,0.0,2012-2019,[]
eurostat_social_scoreboard_poverty,OK,local_data/processed/eurostat_social_scoreboard_panel.csv,20,8,0.0,2024,[]
istat_household_textbook_burden,OK,local_data/processed/italy_household_burden_module.csv,19,10,13.68,2022-2025,[]
ourworldindata_compulsory_duration_and_productivity,OK,local_data/processed/international_compulsory_duration_panel.csv,5519,4,0.0,1975-2024,[]
uk_sdg_4_educational_proficiency_benchmark,ISSUES_FOUND,local_data/UKSDGstats/4-1-1.csv,132374,16,36.01,2009-2021,['High missing values rate (36.01% NaNs)']
oecd_pisa_and_vet_tracking,OK,local_data/processed/oecd_pisa_and_vet_tracking_panel.csv,8,10,10.0,2000-2022,[]
oecd_low_pay_and_wage_gap,OK,local_data/processed/oecd_low_pay_and_wage_gap_panel.csv,648,30,13.33,1970-2023,[]
eurydice_teacher_salaries_and_equity,OK,local_data/processed/eurydice_teacher_salaries_and_equity_panel.csv,192,10,0.0,2020-2023,[]
mur_tertiary_progression_and_origin,OK,local_data/processed/mur_tertiary_progression_and_origin_panel.csv,16,4,0.0,2023-2024,[]
opencoesione_school_digital_infrastructure,OK,local_data/processed/opencoesione_school_digital_projects_summary.csv,52,4,0.0,Static/Cross-section,[]
istat_neet_incidence_by_educational_attainment,OK,local_data/processed/istat_neet_and_dropout_by_attainment_panel.csv,4,2,0.0,Static/Cross-section,[]
mur_university_tuition_exemptions_and_tax_relief,OK,local_data/processed/mur_university_exemptions_and_tax_relief_panel.csv,100,5,3.2,Static/Cross-section,[]
worldbank_learning_poverty_and_teacher_training,ISSUES_FOUND,local_data/processed/worldbank_learning_poverty_and_teacher_training_panel.csv,330,8,36.63,Static/Cross-section,['High missing values rate (36.63% NaNs)']
oecd_education_funding_sources_and_staff_nature,OK,local_data/processed/oecd_education_funding_and_staff_nature_panel.csv,539,17,3.9,2015-2023,[]
eurydice_instruction_time_and_curriculum_allocation,OK,local_data/processed/eurydice_italian_instruction_time_by_track.csv,11,3,0.0,Static/Cross-section,[]
hf_mim_student_enrollment_by_track,OK,local_data/processed/hf_mim_student_enrollment_by_track.csv,1000,12,0.0,2024,[]
hf_mim_teacher_precariato_by_region,OK,local_data/processed/hf_mim_teacher_precariato_by_region.csv,104,2,0.0,Static/Cross-section,[]
hf_snv_school_evaluation_outcomes,OK,local_data/processed/hf_snv_school_evaluation_outcomes.csv,1000,9,0.0,2016,[]
ourworldindata_upper_secondary_completion_and_schooling_quality,ISSUES_FOUND,local_data/processed/ourworldindata_upper_secondary_completion_and_quality_panel.csv,2611,8,48.69,0196-9954,['High missing values rate (48.69% NaNs)']
ourworldindata_macro_fiscal_and_sectoral_structure,OK,local_data/processed/ourworldindata_macro_fiscal_and_sectoral_panel.csv,307,7,27.5,1991-2023,[]
eurydice_elet_and_school_year_structures,ISSUES_FOUND,local_data/processed/eurydice_elet_and_school_year_panel.csv,45,5,60.0,Static/Cross-section,['High missing values rate (60.0% NaNs)']
worldbank_tertiary_enrollment_and_spending_panel,OK,local_data/processed/worldbank_tertiary_enrollment_and_spending_panel.csv,660,8,34.02,Static/Cross-section,[]
worldbank_youth_mental_health_and_mortality,OK,local_data/processed/worldbank_youth_mental_health_and_mortality_panel.csv,3744,5,0.0,2004-2021,[]
mur_university_graduates_and_cohort_birthyear_panel,OK,local_data/processed/mur_university_graduates_and_cohort_panel.csv,24,2,0.0,2001-2024,[]
