academic_year,ateneo_code,ateneo_name,TASSA_MEDIA_PAGANTI_LAUREA,TASSA_MEDIA_TOTALE_ISCRITTI_LAUREA,tassa_media_paganti_laur_eur,tassa_media_tot_iscr_laur_eur,beneficiaries_borse_ateneo_total,beneficiaries_mobility_out_total,students_in_contrib_classes_total,students_no_contrib_class,students_contrib_up_to_500,avg_support_gap_eur,share_no_contrib_class,share_contrib_up_to_500
2023-2024,04201,Ancona - Università Politecnica delle Marche,"1218,24","825,3",1218.24,825.3,732.0,505.0,10002.0,0.0,1750.0,392.94000000000005,0.0,0.1749650069986003
2023-2024,00701,Aosta - Università degli studi,"1500,47","1214,67",1500.47,1214.67,9.0,228.0,786.0,0.0,25.0,285.79999999999995,0.0,0.031806615776081425
2023-2024,07801,Arcavacata di Rende - Università della Calabria,"1015,76","506,9",1015.76,506.9,602.0,759.0,11110.0,0.0,3522.0,508.86,0.0,0.317011701170117
2023-2024,07202,Bari - Politecnico,"1019,46","658,71",1019.46,658.71,1913.0,193.0,6091.0,0.0,1958.0,360.75,0.0,0.32145788868822855
2023-2024,07201,Bari - Università degli studi,"1288,86","726,75",1288.86,726.75,1895.0,707.0,21383.0,0.0,2344.0,562.1099999999999,0.0,0.10961979142309311
2023-2024,06201,Benevento - Università degli studi del Sannio,"1331,86","715,68",1331.86,715.68,108.0,82.0,1865.0,9.0,182.0,616.18,0.00482573726541555,0.09758713136729223
2023-2024,06202,"Benevento - Università telematica ""Giustino Fortunato""","2629,21","2625,75",2629.21,2625.75,0.0,16.0,2054.0,0.0,9.0,3.4600000000000364,0.0,0.004381694255111977
2023-2024,01601,Bergamo - Università degli studi,"1213,79","761,57",1213.79,761.57,329.0,804.0,12354.0,331.0,2730.0,452.2199999999999,0.02679294155739032,0.22098105876639146
2023-2024,03701,Bologna - Università degli studi,"1833,9","1253,44",1833.9,1253.44,3206.0,8018.0,56398.0,0.0,1788.0,580.46,0.0,0.031703251888364835
2023-2024,02101,Bolzano - Libera Università,"1221,63","913,75",1221.63,913.75,215.0,343.0,2498.0,0.0,0.0,307.8800000000001,0.0,0.0
2023-2024,00401,Bra (CN) - Università di Scienze Gastronomiche,"13124,91","12105,07",13124.91,12105.07,12.0,0.0,267.0,0.0,0.0,1019.8400000000001,0.0,0.0
2023-2024,01701,Brescia - Università degli studi,"1626,9","1178,65",1626.9,1178.65,818.0,752.0,11622.0,0.0,2315.0,448.25,0.0,0.19919118912407502
2023-2024,09201,Cagliari - Università degli studi,"1307,28","677,14",1307.28,677.14,429.0,665.0,11908.0,35.0,1928.0,630.14,0.0029392005374538127,0.1619079610345986
2023-2024,04302,Camerino - Università degli studi,"1276,05","784,1",1276.05,784.1,888.0,485.0,3395.0,0.0,453.0,491.94999999999993,0.0,0.13343151693667157
2023-2024,07001,Campobasso - Università degli studi del Molise,"1307,85","776,77",1307.85,776.77,285.0,4.0,3853.0,0.0,508.0,531.0799999999999,0.0,0.13184531533869712
2023-2024,07203,"Casamassima - Libera Università Mediterranea ""Giuseppe Degennaro""","6944,53","6193,59",6944.53,6193.59,156.0,108.0,1802.0,0.0,0.0,750.9399999999996,0.0,0.0
2023-2024,06001,Cassino - Università degli Studi di Cassino e del Lazio Meridionale,"1134,89","529,5",1134.89,529.5,382.0,354.0,3198.0,0.0,1109.0,605.3900000000001,0.0,0.34677923702313945
2023-2024,01201,"Castellanza - Università ""Carlo Cattaneo""","6862,55","6486,41",6862.55,6486.41,111.0,412.0,2335.0,0.0,0.0,376.1400000000003,0.0,0.0
2023-2024,08701,Catania - Università degli studi,"970,79","575,18",970.79,575.18,637.0,739.0,22640.0,0.0,10259.0,395.61,0.0,0.45313604240282684
2023-2024,07901,"Catanzaro - Università degli studi ""Magna Grecia""","1116,95","488,85",1116.95,488.85,272.0,180.0,4748.0,0.0,1667.0,628.1,0.0,0.351095197978096
2023-2024,06901,Chieti e Pescara - Università degli studi Gabriele D'Annunzio,"1146,83","646,24",1146.83,646.24,414.0,717.0,11317.0,0.0,4112.0,500.5899999999999,0.0,0.3633471768136432
2023-2024,08601,"Enna - Libera Università della Sicilia Centrale ""KORE""","3974,51","3143,75",3974.51,3143.75,70.0,67.0,4242.0,0.0,128.0,830.7600000000002,0.0,0.030174446016030174
2023-2024,03801,Ferrara - Università degli studi,"1447,35","922,65",1447.35,922.65,756.0,740.0,16732.0,0.0,1016.0,524.6999999999999,0.0,0.06072196987807794
2023-2024,04801,Firenze - Università degli studi,"1353,85","923,13",1353.85,923.13,2597.0,1999.0,38347.0,2101.0,9605.0,430.7199999999999,0.05478916212480768,0.2504759172816648
2023-2024,04804,"Firenze - Università telematica ""Italian University line""","1524,07","1457,84",1524.07,1457.84,81.0,0.0,1710.0,0.0,64.0,66.23000000000002,0.0,0.03742690058479532
2023-2024,07101,Foggia - Università degli studi,"963,93","500,24",963.93,500.24,266.0,399.0,6158.0,0.0,2560.0,463.68999999999994,0.0,0.4157193894121468
2023-2024,01001,Genova - Università degli studi,"1773,75","1255,35",1773.75,1255.35,1932.0,1518.0,22157.0,0.0,3048.0,518.4000000000001,0.0,0.13756374960509093
2023-2024,06601,L'Aquila - Università degli studi,"705,08","520,42",705.08,520.42,300.0,468.0,11537.0,0.0,5501.0,184.66000000000008,0.0,0.4768137297391003
2023-2024,07501,Lecce - Università del Salento,"1245,23","529,05",1245.23,529.05,528.0,596.0,7769.0,0.0,2513.0,716.1800000000001,0.0,0.32346505341742826
2023-2024,04301,Macerata - Università degli studi,"1016,52","673,32",1016.52,673.32,245.0,423.0,5789.0,0.0,1286.0,343.19999999999993,0.0,0.22214544826394886
2023-2024,08301,Messina - Università degli studi,"866,55","457,93",866.55,457.93,1093.0,987.0,12699.0,0.0,6593.0,408.61999999999995,0.0,0.5191747381683597
2023-2024,01505,Milano - Libera Università di Lingue e Comunicazione (IULM),"6943,35","6290,7",6943.35,6290.7,328.0,485.0,7203.0,0.0,2.0,652.6500000000005,0.0,0.00027766208524226016
2023-2024,01502,Milano - Politecnico,"2457,47","1925,07",2457.47,1925.07,4428.99,7848.0,37670.0,0.0,3382.0,532.3999999999999,0.0,0.08977966551632599
