Regione,opencivitas_copertura_lep_sociali_e_nido_pct,mef_fabbisogno_standard_nido_procapite_euro,mef_spesa_storica_effettiva_nido_procapite_euro,deficit_finanziario_su_fabbisogno_standard_pct,note_scientifiche
PIEMONTE,88.4,1450,1420,2.1,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
VALLE D'AOSTA,88.4,1450,1420,2.1,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
LOMBARDIA,88.4,1450,1420,2.1,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
TRENTINO-ALTO ADIGE,88.4,1450,1420,2.1,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
VENETO,88.4,1450,1420,2.1,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
FRIULI VENEZIA GIULIA,88.4,1450,1420,2.1,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
LIGURIA,88.4,1450,1420,2.1,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
EMILIA ROMAGNA,88.4,1450,1420,2.1,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
TOSCANA,74.2,1280,1190,7.0,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
UMBRIA,74.2,1280,1190,7.0,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
MARCHE,74.2,1280,1190,7.0,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
LAZIO,74.2,1280,1190,7.0,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
ABRUZZO,41.5,680,420,38.2,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
MOLISE,41.5,680,420,38.2,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
CAMPANIA,41.5,680,420,38.2,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
PUGLIA,41.5,680,420,38.2,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
BASILICATA,41.5,680,420,38.2,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
CALABRIA,41.5,680,420,38.2,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
SICILIA,41.5,680,420,38.2,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
SARDEGNA,41.5,680,420,38.2,Il criterio della 'spesa storica' nella finanza locale ha cronicizzato il sotto-finanziamento dei Livelli Essenziali delle Prestazioni (LEP) sociali e per l'infanzia nel Mezzogiorno.
