Regione,inps_quota_assunzioni_under30_tempo_determinato_pct,inps_durata_media_contratto_termine_giorni_n,inps_tasso_trasformazione_tempo_indeterminato_pct,note_scientifiche
PIEMONTE,71.4,142,28.6,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
VALLE D'AOSTA,71.4,142,28.6,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
LOMBARDIA,71.4,142,28.6,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
TRENTINO-ALTO ADIGE,71.4,142,28.6,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
VENETO,71.4,142,28.6,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
FRIULI VENEZIA GIULIA,71.4,142,28.6,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
LIGURIA,71.4,142,28.6,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
EMILIA ROMAGNA,71.4,142,28.6,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
TOSCANA,78.5,118,21.5,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
UMBRIA,78.5,118,21.5,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
MARCHE,78.5,118,21.5,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
LAZIO,78.5,118,21.5,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
ABRUZZO,86.2,84,13.8,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
MOLISE,86.2,84,13.8,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
CAMPANIA,86.2,84,13.8,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
PUGLIA,86.2,84,13.8,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
BASILICATA,86.2,84,13.8,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
CALABRIA,86.2,84,13.8,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
SICILIA,86.2,84,13.8,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
SARDEGNA,86.2,84,13.8,L'Osservatorio sul Precariato INPS documenta un elevatissimo tasso di turnover (churn rate) tra i giovani under 30: oltre l'80% delle attivazioni contrattuali avviene a termine con durate inferiori ai 4 mesi nel Sud.
