Regione,Macroarea,shiw_elasticita_intergenerazionale_ricchezza_indice_n,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,0.5,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,0.5,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,0.5,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,0.5,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,0.5,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,0.4,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,0.5,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,0.5,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,0.5,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,0.5,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,0.5,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,0.5,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,0.6,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,0.7,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,0.6,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,0.6,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,0.6,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,0.6,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,0.6,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,0.7,Banca d'Italia SHIW Elasticità Ereditaria Ricchezza,Verificato e Certificato - Osservatorio Italienation
