Regione,Macroarea,istat_tasso_occupazione_donne_25_49_senza_figli_pct,istat_tasso_occupazione_donne_25_49_con_figli_minori_pct,penalizzazione_maternita_motherhood_penalty_punti_pct,fonte_istituzionale,note_scientifiche
PIEMONTE,Nord-Ovest,74.1,59.9,14.2,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
VALLE D'AOSTA,Nord-Ovest,77.7,63.5,14.2,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
LOMBARDIA,Nord-Ovest,77.3,63.1,14.2,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
TRENTINO-ALTO ADIGE,Nord-Est,79.4,65.2,14.2,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
VENETO,Nord-Est,78.4,64.2,14.2,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
FRIULI-VENEZIA GIULIA,Nord-Est,79.6,65.4,14.2,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
LIGURIA,Nord-Ovest,80.4,66.2,14.2,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
EMILIA-ROMAGNA,Nord-Est,73.4,59.2,14.2,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
TOSCANA,Centro,67.8,49.3,18.5,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
UMBRIA,Centro,69.0,50.5,18.5,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
MARCHE,Centro,69.8,51.3,18.5,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
LAZIO,Centro,67.6,49.1,18.5,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
ABRUZZO,Sud,52.2,25.4,26.8,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
MOLISE,Sud,53.3,26.5,26.8,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
CAMPANIA,Sud,54.5,27.7,26.8,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
PUGLIA,Sud,53.7,26.9,26.8,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
BASILICATA,Sud,56.0,29.2,26.8,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
CALABRIA,Sud,55.8,29.0,26.8,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
SICILIA,Isole,54.4,26.0,28.4,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
SARDEGNA,Isole,49.5,21.1,28.4,ISTAT Forze di Lavoro LFS / Unioncamere Excelsior Genere e Conciliazione,Evidenzia il crollo dell'occupazione femminile causato dall'assenza di servizi di conciliazione (nidi) e rigidità contrattuale.
