regione,inv_dispersione_occulta_pct,inv_eccellenze_pct,siope_spesa_cassa_media,openpolis_poverta_educativa_pct,pnrr_digital_projects_cnt,pnrr_digital_funding_eur,hf_precariato_docenti_cnt,istat_repeaters_pct,lower_disability_per_1000_t_minus_1,lower_class_size_t_minus_1,lower_exam_success_t_minus_1,lower_foreign_share_t_minus_1,lower_median_grade_t_minus_1,lower_public_share_t_minus_1,lower_exam_failure_t_minus_1,upper_repeaters_all_t,upper_repeaters_fir_t,upper_lic_t,upper_tec_t,upper_voc_t,upper_voc_minus_lic_t,upper_tec_minus_lic_t,transition_jump_all_t,transition_jump_fir_t,neet_count_15_29,neet_risk_index,neet_percentile
PIEMONTE,74496290426182.3,43828989315713.05,2634892.8649999998,42.3,3327,405181184.82000005,106.0,6.375,39.41111111111111,20.9,99.83333333333333,13.855555555555556,7.444444444444445,94.8111111111111,0.16666666666666508,5.666666666666667,9.055555555555555,2.72,6.32,8.620000000000001,5.9,3.6,5.500000000000002,8.88888888888889,64.1805,-0.14221499254033954,0.6041666666666667
VALLE D'AOSTA,22340029830558.535,13584705788166.545,2660286.92,57.0,31,60523137.38,106.0,8.35,36.91111111111111,20.211111111111112,99.66666666666667,6.655555555555555,7.111111111111111,96.5,0.3333333333333349,5.088888888888889,8.100000000000001,3.4799999999999995,7.32,4.9799999999999995,1.5000000000000002,3.84,4.755555555555554,7.766666666666666,1.804,-0.9636095958266822,0.0416666666666666
LOMBARDIA,109432254040698.62,36893763474685.24,3074330.65,38.5,4748,562833376.94,106.0,6.7,51.25555555555556,21.677777777777777,99.8777777777778,16.0,7.444444444444445,91.13333333333334,0.1222222222222184,5.866666666666666,9.555555555555555,2.84,6.4799999999999995,8.86,6.0200000000000005,3.6399999999999997,5.744444444444448,9.433333333333335,153.49200000000002,1.0384618078395458,0.8333333333333334
TRENTINO-ALTO ADIGE,37597132441053.82,4319397864798.968,3370138.33,57.0,405,186922520.48,106.0,6.483333333333333,33.44736842105263,20.081481481481482,99.94615384615385,12.096296296296297,7.846153846153846,93.9148148148148,0.05384615384615132,5.062962962962962,8.1,3.013333333333333,6.2733333333333325,9.086666666666668,6.073333333333333,3.2600000000000002,5.1615384615384645,8.330769230769233,9.587,-0.8611350285623933,0.16666666666666666
VENETO,146693726225527.44,33002992210940.145,3510888.425,36.2,3915,361979880.26,106.0,6.15,37.86666666666666,21.244444444444444,99.85555555555555,14.244444444444444,7.444444444444445,94.93333333333334,0.14444444444444252,5.144444444444444,8.355555555555556,2.44,5.5200000000000005,7.76,5.32,3.0800000000000005,5.000000000000002,8.211111111111112,70.02850000000001,-0.06493448542998881,0.6666666666666666
FRIULI VENEZIA GIULIA,74547479516850.2,29078532609656.3,7832596.105,57.0,1402,257038722.44,120.0,6.95,35.32222222222222,20.133333333333333,99.84444444444445,12.833333333333334,7.444444444444445,95.75555555555555,0.155555555555553,5.877777777777777,9.066666666666668,2.58,6.640000000000001,9.64,7.06,4.06,5.722222222222225,8.911111111111115,17.7725,-0.7528115715685655,0.3333333333333333
LIGURIA,41039055429246.08,27648233863182.855,3362710.1100000003,57.0,1048,231868093.8,106.0,7.6,46.76666666666667,21.355555555555554,99.76666666666667,13.433333333333334,7.777777777777778,95.56666666666666,0.23333333333333423,6.5,9.711111111111112,2.96,7.0200000000000005,11.14,8.180000000000001,4.0600000000000005,6.266666666666666,9.477777777777776,23.777,-0.6728090930030997,0.40625
EMILIA ROMAGNA,71118312349379.73,79541528216159.6,4211078.38,32.8,4622,394868836.53,241.0,7.4750000000000005,38.455555555555556,22.333333333333332,99.8777777777778,16.58888888888889,7.555555555555555,95.53333333333333,0.1222222222222184,6.044444444444444,9.677777777777777,2.66,6.38,10.18,7.5200000000000005,3.72,5.922222222222226,9.555555555555559,64.961,-0.13133042703350806,0.6041666666666667
TOSCANA,64078353248445.5,76454615154366.67,3667834.2150000003,57.0,3038,367610689.69,106.0,8.1,38.41111111111111,21.799999999999997,99.86666666666667,14.811111111111112,7.555555555555555,98.01111111111112,0.13333333333333047,6.822222222222222,10.022222222222222,3.08,7.040000000000001,12.4,9.32,3.9599999999999995,6.688888888888892,9.888888888888893,56.0725,-0.2466234969019766,0.5416666666666666
UMBRIA,52947459700105.24,27876500258448.65,3326269.4400000004,57.0,1899,139130740.11,106.0,5.025,43.2,20.77777777777778,99.9,14.733333333333333,8.0,99.3111111111111,0.09999999999999745,3.711111111111111,5.044444444444444,1.28,4.1,8.08,6.8,2.8200000000000003,3.6111111111111134,4.944444444444446,12.252500000000001,-0.8257136934982825,0.2083333333333333
