Regione,Macroarea,mim_quota_iscritti_licei_14anni_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,57.9,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,53.9,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,57.2,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,48.6,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,57.9,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,55.8,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,56.5,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,55.0,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,50.8,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,51.6,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,50.1,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,57.9,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,50.6,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,46.9,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,45.4,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,45.1,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,44.8,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,47.6,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,47.4,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,45.6,MIM Ripartizione Indirizzi di Studio,Verificato e Certificato - Osservatorio Italienation
