Regione,Macroarea,mur_tasso_transizione_universita_da_tecnici_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,34.0,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,34.3,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,35.7,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,34.0,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,36.5,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,34.4,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,34.6,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,32.5,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,29.2,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,31.4,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,28.7,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,30.5,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,25.4,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,27.6,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,25.1,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,27.2,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,24.2,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,26.3,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,28.4,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,27.1,MUR USTAT Transizione Università per Diploma,Verificato e Certificato - Osservatorio Italienation
