provincia,regione,elet_rate_pct,tertiary_attainment_pct,repeaters_pct
TORINO,PIEMONTE,10.4,33.5,9.7
CUNEO,PIEMONTE,8.1,28.4,8.5
MILANO,LOMBARDIA,8.8,45.2,10.1
BRESCIA,LOMBARDIA,11.2,29.8,11.5
SONDRIO,LOMBARDIA,7.4,26.5,9.1
VENEZIA,VENETO,8.5,34.1,9.8
PADOVA,VENETO,7.2,39.5,9.0
BOLOGNA,EMILIA ROMAGNA,7.8,46.8,7.5
RIMINI,EMILIA ROMAGNA,10.9,30.2,9.0
FIRENZE,TOSCANA,8.2,42.1,13.9
ROMA,LAZIO,9.4,44.5,9.2
LATINA,LAZIO,12.8,24.8,11.399999999999999
NAPOLI,CAMPANIA,18.9,22.4,15.1
SALERNO,CAMPANIA,15.4,25.1,12.6
BENEVENTO,CAMPANIA,13.2,28.5,10.799999999999999
BARI,PUGLIA,14.2,28.8,12.8
TARANTO,PUGLIA,17.5,21.5,14.9
PALERMO,SICILIA,19.5,24.2,14.7
CATANIA,SICILIA,21.2,21.8,15.799999999999999
ENNA,SICILIA,14.8,29.5,11.2
CAGLIARI,SARDEGNA,13.5,31.2,16.8
SASSARI,SARDEGNA,16.8,24.5,18.6
