anno,neet_rate_pct
2018,139.84096282625865
2018-Q1,278.45930144278606
2018-Q2,269.5075214303483
2018-Q3,296.79316881840793
2018-Q4,285.3261458955224
2019,132.95891400148074
2019-Q1,273.64238667412934
2019-Q2,258.0221029303483
2019-Q3,276.44006712189054
2019-Q4,266.9342098084577
2020,145.6099363928924
2020-Q1,277.39912172388057
2020-Q2,303.16470145771143
2020-Q3,298.6651761144279
2020-Q4,290.8517421716418
2021,139.32514488184324
2021-Q1,297.3091684427861
2021-Q2,279.23658502238806
2021-Q3,274.0824172288557
2021-Q4,270.73414432587066
2022,115.87747285657997
2022-Q1,263.1507700845771
2022-Q2,238.3784754004975
2022-Q3,219.54592864925374
2022-Q4,214.14966992786069
2023,98.32320130378251
2023-Q1,204.90377173383087
2023-Q2,194.14720800248756
2023-Q3,205.0856788084577
2023-Q4,191.61720536815918
2024,94.6357676859732
2024-Q1,190.74869450248755
2024-Q2,182.67715798258706
2024-Q3,200.44005158706466
2024-Q4,192.51419801243782
