Regione,Macroarea,inail_infortuni_studenti_pcto_per_10k_iscritti_n,inail_tasso_infortuni_lavoratori_under25_tempo_determinato_per_10k_n,fonte_istituzionale,note_scientifiche
PIEMONTE,Nord-Ovest,11.7,37.4,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
VALLE D'AOSTA,Nord-Ovest,15.4,36.1,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
LOMBARDIA,Nord-Ovest,10.4,34.5,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
TRENTINO-ALTO ADIGE,Nord-Est,13.5,38.6,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
VENETO,Nord-Est,14.0,39.6,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
FRIULI-VENEZIA GIULIA,Nord-Est,10.8,38.3,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
LIGURIA,Nord-Ovest,13.8,37.4,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
EMILIA-ROMAGNA,Nord-Est,11.9,44.0,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
TOSCANA,Centro,20.8,41.4,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
UMBRIA,Centro,18.0,47.5,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
MARCHE,Centro,14.1,45.7,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
LAZIO,Centro,17.9,44.1,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
ABRUZZO,Sud,30.2,56.1,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
MOLISE,Sud,27.9,57.6,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
CAMPANIA,Sud,29.0,55.7,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
PUGLIA,Sud,28.1,50.6,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
BASILICATA,Sud,33.2,61.2,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
CALABRIA,Sud,26.6,63.8,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
SICILIA,Isole,27.5,51.9,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
SARDEGNA,Isole,26.1,52.2,INAIL Banca Dati Statistica Infortuni sul Lavoro / MIM Orientamento,Misura il rischio di infortunio fisico durante la transizione scuola-lavoro (PCTO e contratti precari iniziali).
