Regione,Macroarea,invalsi_tasso_dispersione_occulta_gr13_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,6.0,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,6.4,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,6.1,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,6.1,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,6.5,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,6.5,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,6.1,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,6.3,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,8.6,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,7.8,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,9.4,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,8.1,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,16.5,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,17.5,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,17.4,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,17.3,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,17.8,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,18.4,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,18.3,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,17.6,INVALSI Dispersione Occulta Grado 13,Verificato e Certificato - Osservatorio Italienation
