Regione,Macroarea,istat_proiezione_variazione_popolazione_3_18_al_2040_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,-14.7,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,-13.4,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,-14.1,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,-13.8,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,-12.8,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,-14.3,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,-14.6,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,-13.9,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,-18.6,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,-18.6,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,-17.3,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,-18.9,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,-28.1,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,-28.0,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,-29.1,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,-27.4,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,-29.6,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,-27.2,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,-28.4,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,-28.3,ISTAT Proiezioni Demografiche Coorte Scolastica,Verificato e Certificato - Osservatorio Italienation
