,importo_euro,importo_euro,importo_euro,anno
,sum,count,mean,nunique
codice_gestionale,,,,
1.03.02.15.999,281309289.33,26883,10464.207466800579,6
1.03.02.11.999,207903310.59,32082,6480.372501402656,7
1.01.01.01.002,121357631.47,18720,6482.7794588675215,6
1.01.01.01.004,86424211.34,14379,6010.446577647959,6
1.03.02.99.999,80353728.79,15321,5244.679119509171,7
2.02.01.07.999,54276743.62,12389,4381.043152796836,7
1.03.01.02.999,43019057.27,25188,1707.918741861204,7
1.03.02.04.004,30775164.13,17207,1788.5258400650898,7
1.03.02.02.001,26362892.98,8464,3114.7085278827976,7
1.03.01.02.001,26187418.3,28748,910.9300925281759,7
1.01.02.01.001,24617471.78,15170,1622.7733539881347,6
1.03.01.02.006,22891454.29,16741,1367.388703781136,7
2.02.01.03.003,22798321.92,7159,3184.5679452437494,5
1.03.02.11.002,22416934.21,9608,2333.153019358868,7
1.03.01.02.007,21752587.04,17402,1250.0050017239398,7
7.01.01.02.001,21411316.66,5098,4199.944421341703,7
2.02.03.99.001,20414584.46,2882,7083.478299791812,7
1.10.03.01.001,19858540.77,9828,2020.6085439560438,7
1.10.04.01.003,17713118.4,13275,1334.3215367231637,7
2.02.01.99.999,14878294.72,4479,3321.7893994195133,7
1.03.02.07.006,14587987.16,19014,767.2234753339644,7
2.02.01.05.001,14587724.7,3989,3656.9878917021806,7
1.03.02.07.002,14506244.94,6911,2099.0080943423527,7
1.03.01.05.999,13974863.43,18026,775.2614795295684,7
1.03.02.05.006,13227073.93,2219,5960.826466876972,7
1.03.02.05.999,12560464.77,14841,846.3354740246614,7
1.03.02.13.999,12214332.83,4993,2446.2913739234928,7
1.02.01.01.001,10933102.78,20251,539.8796494000296,7
1.03.02.04.999,9384192.07,9552,982.4321681323283,7
1.03.02.07.999,9056753.17,8152,1110.9854232090283,7
1.03.02.07.008,8902377.0,19405,458.76717340891526,7
1.03.02.10.001,8654883.76,6010,1440.0804925124792,7
1.03.02.05.004,8547588.27,2807,3045.0973530459564,7
1.03.02.14.999,8284040.72,4845,1709.812326109391,7
1.03.02.02.999,8162267.5,16685,489.19793227449804,7
1.03.01.02.011,7444882.7,3675,2025.8184217687076,7
1.03.02.09.008,7291230.93,4527,1610.6098807157057,7
1.09.99.01.001,6915951.68,4371,1582.2355708075954,6
1.01.01.01.008,6719170.87,4669,1439.102777896766,6
1.09.99.04.001,6435142.54,13763,467.56830196904747,7
1.03.02.19.002,6367081.06,11872,536.3107361859838,7
1.03.01.02.008,6347781.98,7514,844.7939819004525,7
0.00.00.99.999,6191152.6,34323,180.37912187163127,7
1.03.02.13.002,5329341.2,2280,2337.430350877193,7
2.02.01.04.001,5233869.71,3580,1461.974779329609,7
1.03.02.16.999,5092703.21,9424,540.3971997028863,7
2.02.01.04.002,4305166.48,1737,2478.5068969487625,7
1.03.02.05.001,4272252.26,11364,375.9461686026047,7
1.03.02.09.004,4002634.67,7693,520.295680488756,7
1.09.99.02.001,3929661.9699999997,2201,1785.3984416174465,6
1.03.02.18.999,3681151.94,9944,370.1882481898632,6
2.02.01.03.999,3680309.73,1732,2124.8901443418013,7
1.03.02.09.011,3427201.45,5967,574.3592173621586,7
1.02.01.06.001,3426122.97,1669,2052.79986219293,7
1.04.02.05.999,3402412.25,2677,1270.9795480014943,7
