Regione,inapp_plus_lifelong_learning_adulti_25_64_pct,inapp_plus_indice_mobilita_intergenerazionale,inapp_plus_partecipazione_formazione_informale_pct
PIEMONTE,12.8,0.42,24.5
VALLE D'AOSTA,12.8,0.42,24.5
LOMBARDIA,12.8,0.42,24.5
TRENTINO-ALTO ADIGE,12.8,0.42,24.5
VENETO,12.8,0.42,24.5
FRIULI VENEZIA GIULIA,12.8,0.42,24.5
LIGURIA,12.8,0.42,24.5
EMILIA ROMAGNA,12.8,0.42,24.5
TOSCANA,10.5,0.38,21.2
UMBRIA,10.5,0.38,21.2
MARCHE,10.5,0.38,21.2
LAZIO,10.5,0.38,21.2
ABRUZZO,6.9,0.28,15.4
MOLISE,6.9,0.28,15.4
CAMPANIA,6.9,0.28,15.4
PUGLIA,6.9,0.28,15.4
BASILICATA,6.9,0.28,15.4
CALABRIA,6.9,0.28,15.4
SICILIA,6.9,0.28,15.4
SARDEGNA,6.9,0.28,15.4
