region,macro_area,siope_cassa,agibilita,precariato,class_size,quota_licei,bocciature,mur_tuition,mur_dropout,neet
Piemonte,Nord-Ovest,142.5,45.2,21.4,20.8,52.1,6.8,1380.0,6.2,10.8
Valle d'Aosta,Nord-Ovest,310.2,62.1,18.5,18.2,48.5,5.9,1150.0,5.4,8.9
Lombardia,Nord-Ovest,165.8,51.0,24.8,21.6,54.3,6.5,1620.0,6.0,9.5
Liguria,Nord-Ovest,138.0,42.5,23.1,19.9,55.0,7.2,1410.0,6.8,11.2
Trentino-Alto Adige,Nord-Est,380.5,74.5,16.2,19.5,46.2,4.8,1280.0,4.9,7.5
Veneto,Nord-Est,155.2,53.4,20.5,21.2,51.0,6.1,1350.0,5.8,8.8
Friuli-Venezia Giulia,Nord-Est,178.4,58.2,19.8,20.1,50.8,5.7,1310.0,5.5,8.4
Emilia-Romagna,Nord-Est,195.6,61.5,22.0,21.4,53.2,6.0,1450.0,5.9,8.2
Toscana,Centro,168.2,49.8,21.8,20.5,54.8,6.7,1390.0,6.1,10.4
Umbria,Centro,145.0,46.2,22.5,19.8,53.5,6.9,1250.0,6.4,11.5
Marche,Centro,152.1,48.5,21.0,20.2,52.0,6.4,1290.0,6.0,10.2
Lazio,Centro,128.5,38.9,26.4,22.1,61.2,7.8,1550.0,7.1,14.2
Abruzzo,Sud,115.4,36.5,25.1,19.6,52.5,7.9,1180.0,7.2,15.8
Molise,Sud,108.2,34.1,24.8,18.5,51.2,8.1,1050.0,7.5,16.5
Campania,Sud,88.5,28.4,29.8,22.8,58.5,9.8,1350.0,8.4,23.5
Puglia,Sud,95.2,31.2,28.5,21.5,55.4,8.9,1220.0,7.9,20.8
Basilicata,Sud,102.8,33.5,26.2,18.8,50.8,8.2,1100.0,7.4,18.2
Calabria,Sud,82.1,25.8,31.2,20.5,56.2,10.2,1120.0,8.8,25.4
Sicilia,Isole,85.4,26.5,30.5,21.8,57.8,10.5,1180.0,8.6,24.8
Sardegna,Isole,98.6,32.0,27.8,19.2,49.5,9.2,1150.0,8.1,19.6
