Regione,Macroarea,anac_quota_bandi_edilizia_scolastica_deserti_o_revocati_pct,pnrr_m4c1_indice_avanzamento_lavori_asili_nido_e_scuole_pct,fonte_istituzionale,note_scientifiche
PIEMONTE,Nord-Ovest,6.1,72.9,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
VALLE D'AOSTA,Nord-Ovest,9.4,74.9,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
LOMBARDIA,Nord-Ovest,9.3,72.9,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
TRENTINO-ALTO ADIGE,Nord-Est,12.1,78.6,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
VENETO,Nord-Est,9.3,77.0,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
FRIULI-VENEZIA GIULIA,Nord-Est,6.0,71.5,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
LIGURIA,Nord-Ovest,5.1,75.7,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
EMILIA-ROMAGNA,Nord-Est,6.6,73.9,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
TOSCANA,Centro,14.7,57.9,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
UMBRIA,Centro,15.1,61.5,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
MARCHE,Centro,12.1,63.4,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
LAZIO,Centro,15.6,65.7,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
ABRUZZO,Sud,21.6,45.2,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
MOLISE,Sud,22.4,51.4,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
CAMPANIA,Sud,22.7,51.1,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
PUGLIA,Sud,22.5,54.1,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
BASILICATA,Sud,27.8,51.0,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
CALABRIA,Sud,25.6,51.7,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
SICILIA,Isole,21.9,49.7,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
SARDEGNA,Isole,26.5,48.0,ANAC Open Data Appalti Pubblici / ItaliaDomani PNRR Missione 4 Componente 1,Evidenzia i colli di bottiglia amministrativi dei Comuni meridionali nell'esecuzione degli investimenti PNRR per l'infanzia.
