Regione,female_high_school_attainment_pct,male_high_school_attainment_pct,female_stem_enrollment_share_pct,female_humanities_enrollment_share_pct,almalaurea_female_net_wage_5yr_euro,almalaurea_male_net_wage_5yr_euro,gender_pay_gap_5yr_pct
PIEMONTE,87.4,79.8,23.8,78.5,1380,1690,18.3
VALLE D'AOSTA,87.4,79.8,23.8,78.5,1380,1690,18.3
LOMBARDIA,87.4,79.8,23.8,78.5,1380,1690,18.3
TRENTINO-ALTO ADIGE,87.4,79.8,23.8,78.5,1380,1690,18.3
VENETO,87.4,79.8,23.8,78.5,1380,1690,18.3
FRIULI VENEZIA GIULIA,87.4,79.8,23.8,78.5,1380,1690,18.3
LIGURIA,87.4,79.8,23.8,78.5,1380,1690,18.3
EMILIA ROMAGNA,87.4,79.8,23.8,78.5,1380,1690,18.3
TOSCANA,84.2,76.5,22.1,79.2,1260,1540,18.2
UMBRIA,84.2,76.5,22.1,79.2,1260,1540,18.2
MARCHE,84.2,76.5,22.1,79.2,1260,1540,18.2
LAZIO,84.2,76.5,22.1,79.2,1260,1540,18.2
ABRUZZO,79.5,71.2,19.4,81.0,1120,1380,18.8
MOLISE,79.5,71.2,19.4,81.0,1120,1380,18.8
CAMPANIA,79.5,71.2,19.4,81.0,1120,1380,18.8
PUGLIA,79.5,71.2,19.4,81.0,1120,1380,18.8
BASILICATA,79.5,71.2,19.4,81.0,1120,1380,18.8
CALABRIA,79.5,71.2,19.4,81.0,1120,1380,18.8
SICILIA,79.5,71.2,19.4,81.0,1120,1380,18.8
SARDEGNA,79.5,71.2,19.4,81.0,1120,1380,18.8
