anno,codice_regione,denominazione_regione,spesa_siope_cassa
2024.0,1.0,PIEMONTE,1042844.17
2024.0,2.0,VALLE D'AOSTA,812462.7
2024.0,3.0,LOMBARDIA,1496653.79
2024.0,4.0,TRENTINO-ALTO ADIGE,1579829.77
2024.0,5.0,VENETO,1224008.52
2024.0,6.0,FRIULI VENEZIA GIULIA,2701882.29
2024.0,7.0,LIGURIA,1472779.06
2024.0,8.0,EMILIA ROMAGNA,1829875.25
2024.0,9.0,TOSCANA,2128450.95
2024.0,10.0,UMBRIA,1121988.81
2024.0,11.0,MARCHE,1635661.35
2024.0,12.0,LAZIO,977490.25
2024.0,13.0,ABRUZZO,526701.32
2024.0,14.0,MOLISE,299602.63
2024.0,15.0,CAMPANIA,1611227.93
2024.0,16.0,PUGLIA,608444.37
2024.0,17.0,BASILICATA,1570826.19
2024.0,18.0,CALABRIA,1460766.4
2024.0,19.0,SICILIA,348878.1
2024.0,20.0,SARDEGNA,528638.02
2025.0,1.0,PIEMONTE,4226941.56
2025.0,2.0,VALLE D'AOSTA,4508111.14
2025.0,3.0,LOMBARDIA,4652007.51
2025.0,4.0,TRENTINO-ALTO ADIGE,5160446.89
2025.0,5.0,VENETO,5797768.33
2025.0,6.0,FRIULI VENEZIA GIULIA,12963309.92
2025.0,7.0,LIGURIA,5252641.16
2025.0,8.0,EMILIA ROMAGNA,6592281.51
2025.0,9.0,TOSCANA,5207217.48
2025.0,10.0,UMBRIA,5530550.07
2025.0,11.0,MARCHE,7059020.93
2025.0,12.0,LAZIO,4855126.38
2025.0,13.0,ABRUZZO,2971993.11
2025.0,14.0,MOLISE,3935135.3
2025.0,15.0,CAMPANIA,7338079.69
2025.0,16.0,PUGLIA,2409806.96
2025.0,17.0,BASILICATA,5369237.72
2025.0,18.0,CALABRIA,4724631.93
2025.0,19.0,SICILIA,1699870.87
2025.0,20.0,SARDEGNA,1936689.27
