Regione,Macroarea,istat_neet_15_29_serie_storica_tasso_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,12.7,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,11.3,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,11.9,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,14.2,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,11.4,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,13.1,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,11.8,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,13.4,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,17.2,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,14.7,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,17.9,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,17.9,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,27.7,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,28.3,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,27.6,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,27.1,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,30.7,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,26.1,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,28.1,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,29.2,ISTAT Serie Storiche NEET,Verificato e Certificato - Osservatorio Italienation
