indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2025,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2024,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2023,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2022,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2021,6.63674163818359,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2020,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2019,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2018,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2017,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2016,6.78314018249511,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2015,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2014,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2013,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2012,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2011,5.23771286010742,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2010,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2009,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2008,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2007,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2006,4.60280752182006,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2005,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2004,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2003,,,,1
"{'id': 'SE.LPV.PRIM', 'value': 'Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)'}","{'id': 'FR', 'value': 'France'}",FRA,2002,,,,1
