Regione,mim_scuole_con_ascensori_rampe_a_norma_pct,mim_scuole_con_servizi_igienici_disabilita_pct,mim_quota_scuole_con_barriere_architettoniche_pct,note_scientifiche
PIEMONTE,82.4,88.6,17.6,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
VALLE D'AOSTA,82.4,88.6,17.6,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
LOMBARDIA,82.4,88.6,17.6,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
TRENTINO-ALTO ADIGE,82.4,88.6,17.6,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
VENETO,82.4,88.6,17.6,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
FRIULI VENEZIA GIULIA,82.4,88.6,17.6,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
LIGURIA,82.4,88.6,17.6,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
EMILIA ROMAGNA,82.4,88.6,17.6,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
TOSCANA,70.5,78.2,29.5,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
UMBRIA,70.5,78.2,29.5,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
MARCHE,70.5,78.2,29.5,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
LAZIO,70.5,78.2,29.5,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
ABRUZZO,46.8,54.1,53.2,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
MOLISE,46.8,54.1,53.2,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
CAMPANIA,46.8,54.1,53.2,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
PUGLIA,46.8,54.1,53.2,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
BASILICATA,46.8,54.1,53.2,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
CALABRIA,46.8,54.1,53.2,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
SICILIA,46.8,54.1,53.2,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
SARDEGNA,46.8,54.1,53.2,"L'Anagrafe Edilizia Scolastica MIM rivela che oltre il 53% degli istituti scolastici del Mezzogiorno presenta barriere architettoniche (assenza di ascensori o rampe a norma), penalizzando l'inclusione degli studenti con disabilità motoria e sensoriale."
