Regione,Macroarea,eurostat_elet_divario_vs_target_ue_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,-0.8,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,-0.8,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,-0.8,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,-0.8,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,-0.8,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,-0.8,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,-0.8,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,-0.9,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,1.2,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,1.1,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,1.2,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,1.3,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,7.0,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,8.0,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,6.8,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,7.7,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,7.6,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,7.6,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,7.8,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,6.9,Eurostat Early Leavers UE Comparison,Verificato e Certificato - Osservatorio Italienation
