Regione,Macroarea,ocse_pisa_punteggio_medio_matematica_15enni_punti_n,ocse_pisa_punteggio_medio_comprensione_lettura_15enni_punti_n,divario_matematica_vs_media_ocse_472_punti_n,fonte_istituzionale,note_scientifiche
PIEMONTE,Nord-Ovest,513.0,489.7,41.0,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
VALLE D'AOSTA,Nord-Ovest,511.8,508.6,39.8,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
LOMBARDIA,Nord-Ovest,509.5,496.9,37.5,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
TRENTINO-ALTO ADIGE,Nord-Est,511.0,496.9,39.0,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
VENETO,Nord-Est,505.5,507.6,33.5,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
FRIULI-VENEZIA GIULIA,Nord-Est,503.3,497.0,31.3,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
LIGURIA,Nord-Ovest,501.5,493.5,29.5,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
EMILIA-ROMAGNA,Nord-Est,515.4,501.2,43.4,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
TOSCANA,Centro,486.1,486.0,14.1,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
UMBRIA,Centro,486.6,486.9,14.6,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
MARCHE,Centro,483.6,469.5,11.6,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
LAZIO,Centro,481.4,487.4,9.4,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
ABRUZZO,Sud,450.8,449.3,-21.2,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
MOLISE,Sud,439.8,451.0,-32.2,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
CAMPANIA,Sud,440.0,443.2,-32.0,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
PUGLIA,Sud,447.4,453.6,-24.6,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
BASILICATA,Sud,439.4,461.2,-32.6,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
CALABRIA,Sud,451.4,445.9,-20.6,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
SICILIA,Isole,440.3,440.8,-31.7,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
SARDEGNA,Isole,425.4,439.9,-46.6,OCSE PISA Programme for International Student Assessment / INVALSI / IEA TIMSS,Benchmarking internazionale standardizzato delle competenze al termine dell'obbligo scolastico (15 anni).
