Regione,eurostat_divario_pensionistico_di_genere_pct,inps_pensione_media_mensile_uomini_euro,inps_pensione_media_mensile_donne_euro,note_scientifiche
PIEMONTE,28.4,1780,1274,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
VALLE D'AOSTA,28.4,1780,1274,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
LOMBARDIA,28.4,1780,1274,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
TRENTINO-ALTO ADIGE,28.4,1780,1274,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
VENETO,28.4,1780,1274,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
FRIULI VENEZIA GIULIA,28.4,1780,1274,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
LIGURIA,28.4,1780,1274,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
EMILIA ROMAGNA,28.4,1780,1274,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
TOSCANA,31.2,1540,1060,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
UMBRIA,31.2,1540,1060,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
MARCHE,31.2,1540,1060,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
LAZIO,31.2,1540,1060,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
ABRUZZO,36.8,1280,809,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
MOLISE,36.8,1280,809,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
CAMPANIA,36.8,1280,809,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
PUGLIA,36.8,1280,809,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
BASILICATA,36.8,1280,809,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
CALABRIA,36.8,1280,809,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
SICILIA,36.8,1280,809,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
SARDEGNA,36.8,1280,809,"Il Gender Pension Gap (Eurostat SDMX) costituisce l'esito ultimo dell'asimmetria di genere ($E -> D$): le interruzioni di carriera per cura familiare, la segregazione orizzontale e il part-time involontario si traducono in un assegno pensionistico femminile inferiore di oltre un terzo (-36.8% al Sud) rispetto a quello maschile."
