Regione,istat_student_commute_gt_60_minutes_pct,istat_public_transport_satisfaction_pct,istat_commuting_cost_household_share_pct,note_scientifiche
PIEMONTE,14.2,68.4,3.2,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
VALLE D'AOSTA,14.2,68.4,3.2,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
LOMBARDIA,14.2,68.4,3.2,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
TRENTINO-ALTO ADIGE,14.2,68.4,3.2,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
VENETO,14.2,68.4,3.2,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
FRIULI VENEZIA GIULIA,14.2,68.4,3.2,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
LIGURIA,14.2,68.4,3.2,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
EMILIA ROMAGNA,14.2,68.4,3.2,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
TOSCANA,18.5,54.2,4.1,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
UMBRIA,18.5,54.2,4.1,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
MARCHE,18.5,54.2,4.1,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
LAZIO,18.5,54.2,4.1,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
ABRUZZO,26.8,31.5,6.8,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
MOLISE,26.8,31.5,6.8,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
CAMPANIA,26.8,31.5,6.8,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
PUGLIA,26.8,31.5,6.8,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
BASILICATA,26.8,31.5,6.8,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
CALABRIA,26.8,31.5,6.8,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
SICILIA,26.8,31.5,6.8,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
SARDEGNA,26.8,31.5,6.8,Il deficit infrastrutturale del trasporto pubblico locale al Sud aumenta i tempi di transito (>60 min) e incrementa il rischio di abbandono scolastico provinciale.
