REF_AREA,Country,TIME_PERIOD,state_pct_gdp,parents_private_pct_gdp,rest_world_pct_gdp,total_pct_gdp,state_usd_ppp,parents_private_usd_ppp,rest_world_usd_ppp,total_usd_ppp,state_share_of_total_pct,parents_private_share_of_total_pct,rest_world_share_of_total_pct,implied_gdp_usd_ppp
DEU,Germany,2015,3.57587713399549,0.567972526575859,0.0240369046716251,4.16788656524298,169594.62266047,26937.4709243765,1140.00834619143,197672.101931038,85.79593225534506,13.62735088119526,0.5767168634596427,4742741.886966736
ESP,Spain,2015,3.48326677143846,0.818624851901184,0.0229555924320585,4.32484721577171,65889.7161184156,15485.164541955,434.229580427388,81809.110240798,80.5408052043042,18.928410902374765,0.5307838933210139,1891606.9437657646
GBR,UK,2015,4.18823506906166,1.88385039483267,0.0671421178509541,6.1392275817453,140760.622537354,63313.5318269745,2256.55106538566,206330.705429715,68.22087979789467,30.68546278418157,1.093657417923353,3360857.7411795175
GRC,Greece,2015,3.40298921303059,0.310041710270061,0.150588636552828,3.86361955977935,11182.1507628508,1018.79051915195,494.831082819167,12695.7723645783,88.07775093738634,8.024643872746294,3.8976051917862438,328597.89034982916
ITA,Italy,2015,3.32781551968141,0.481857340454934,0.0971484834613005,3.90682134378402,92599.9303657106,13408.1820066171,2703.25766270603,108711.37004022,85.17961859136847,12.33374393281629,2.4866374710445687,2782604.0782025037
DEU,Germany,2016,3.54542209122965,0.56003144447469,0.0190112668212296,4.1244647399495,172008.780998978,27170.3406834073,922.345702999736,200101.46434946,85.9607807260118,13.578281784063625,0.46093900711737845,4851574.130608523
ESP,Spain,2016,3.44684331774665,0.820208884143523,0.0191698420345389,4.28622203501973,67101.4304036378,15967.4183832012,373.188944941735,83442.037558423,80.41681671142783,19.135940169271883,0.44724332705854886,1946750.2354445555
GBR,UK,2016,4.05308973095042,1.88243870410214,0.0686734908391456,6.00420192589169,139055.35671457,64583.6146911194,2356.08323510589,205995.054640794,67.50422089357883,31.352021922923218,1.143757183498572,3430848.2156885737
GRC,Greece,2016,3.2614454544196,,0.0808047959914286,,10713.633448757,,265.438431288379,,,,,
ITA,Italy,2016,3.11002952435868,0.452398999774257,0.0387280555722781,3.60115657970521,87609.6321833893,12744.0944402381,1090.97057673908,101444.697200367,86.36196331716425,12.562602868306453,1.0754338145287825,2817003.2309084223
DEU,Germany,2017,3.53436692273747,0.556022046705152,0.0216451212959044,4.11203412676255,176129.664622498,27708.4917185233,1078.65086956172,204916.809005785,85.95178964431643,13.521824711676562,0.526384767943204,4983344.074702957
