DATAFLOW,LAST UPDATE,freq,sex,age,training,wstatus,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2005,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2006,,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2007,,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2008,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2009,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2010,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2011,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2012,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2013,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2014,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2015,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2016,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2017,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2018,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2019,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2020,,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2021,3.3,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2022,3.2,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2023,3.6,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2024,3.3,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,AT,2025,3.2,u,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BA,2021,,bu,
ESTAT:EDAT_LFSE_20(1.0),16/04/26 23:00:00,A,F,Y15-17,NO_FE_NO_NFE,INAC,PC,BA,2022,,u,
