Regione,Macroarea,almalaurea_divario_retributivo_genere_5anni_euro_n,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,275.4,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,278.8,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,279.7,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,290.0,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,282.4,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,296.0,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,277.7,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,261.4,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,298.7,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,345.2,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,290.4,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,285.2,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,357.3,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,370.5,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,381.2,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,378.9,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,342.8,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,372.9,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,371.6,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,373.2,AlmaLaurea Condizione Occupazionale,Verificato e Certificato - Osservatorio Italienation
