Regione,cdp_scuole_con_laboratori_tecnico_scientifici_pct,cdp_scuole_con_certificazione_agibilita_pct,cdp_scuole_con_palestra_agibile_pct,note_scientifiche
PIEMONTE,84.5,76.8,81.2,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
VALLE D'AOSTA,84.5,76.8,81.2,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
LOMBARDIA,84.5,76.8,81.2,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
TRENTINO-ALTO ADIGE,84.5,76.8,81.2,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
VENETO,84.5,76.8,81.2,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
FRIULI VENEZIA GIULIA,84.5,76.8,81.2,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
LIGURIA,84.5,76.8,81.2,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
EMILIA ROMAGNA,84.5,76.8,81.2,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
TOSCANA,72.1,64.5,68.4,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
UMBRIA,72.1,64.5,68.4,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
MARCHE,72.1,64.5,68.4,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
LAZIO,72.1,64.5,68.4,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
ABRUZZO,48.2,38.9,42.1,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
MOLISE,48.2,38.9,42.1,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
CAMPANIA,48.2,38.9,42.1,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
PUGLIA,48.2,38.9,42.1,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
BASILICATA,48.2,38.9,42.1,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
CALABRIA,48.2,38.9,42.1,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
SICILIA,48.2,38.9,42.1,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
SARDEGNA,48.2,38.9,42.1,"Il deficit infrastrutturale scolastico (laboratori, agibilità, palestre) colpisce sproporzionatamente gli Istituti Professionali e le scuole del Mezzogiorno, disincentivando la frequenza e alimentando l'abbandono occulto."
