regione,macro_area,TIPOGRADOSCUOLA,costo_medio_basket_eur,costo_mediano_basket_eur,combinazioni_classi
Lombardia,Nord,EE,41.34,35.29,18880
Lombardia,Nord,MM,190.74,142.8,11805
Lombardia,Nord,NO,251.89,241.3,6421
Lombardia,Nord,NT,270.68,262.4,9378
Liguria,Nord,EE,40.58,35.29,2675
Liguria,Nord,MM,187.79,141.55,1479
Liguria,Nord,NO,236.7,220.7,953
Liguria,Nord,NT,254.4,255.9,1462
Lazio,Centro,EE,42.34,35.29,10412
Lazio,Centro,MM,192.95,143.67,6249
Lazio,Centro,NO,259.19,261.8,3917
Lazio,Centro,NT,279.56,280.75,5987
Emilia-Romagna,Nord,EE,41.37,35.29,7953
Emilia-Romagna,Nord,MM,195.72,142.7,5001
Emilia-Romagna,Nord,NO,242.0,231.9,3307
Emilia-Romagna,Nord,NT,261.84,256.3,4665
Campania,Sud,EE,41.29,35.29,13265
Campania,Sud,MM,180.26,135.7,7761
Campania,Sud,NO,241.49,237.65,4813
Campania,Sud,NT,246.76,247.9,7871
Abruzzo,Sud,EE,41.41,35.29,2695
Abruzzo,Sud,MM,185.96,136.75,1525
Abruzzo,Sud,NO,243.66,235.7,1045
Abruzzo,Sud,NT,263.33,266.8,1549
