Regione,Macroarea,istat_tasso_disoccupazione_laureati_15_34_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,6.7,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,6.6,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,6.3,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,6.1,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,6.6,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,6.4,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,6.0,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,5.9,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,8.9,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,9.0,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,9.5,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,9.7,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,18.2,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,18.4,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,17.6,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,19.1,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,20.1,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,18.2,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,17.9,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,18.4,ISTAT Forze di Lavoro per Titolo,Verificato e Certificato - Osservatorio Italienation
