Regione,Macroarea,istat_tasso_istruzione_terziaria_30_34_anni_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,35.0,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,36.2,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,34.0,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,33.2,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,30.8,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,32.5,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,33.3,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,33.1,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,31.2,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,30.6,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,33.1,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,32.9,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,26.3,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,25.1,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,23.6,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,21.3,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,24.9,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,25.5,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,27.3,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,23.9,ISTAT / Eurostat Terziaria 30-34,Verificato e Certificato - Osservatorio Italienation
