Regione,excelsior_difficolta_reperimento_totale_pct,excelsior_domanda_laurea_pct,excelsior_domanda_diploma_tecnico_professionale_pct,excelsior_domanda_its_academy_pct,excelsior_mismatch_qualitativo_competenze_pct
PIEMONTE,49.2,16.8,38.5,2.4,30.5
VALLE D'AOSTA,49.2,16.8,38.5,2.4,30.5
LOMBARDIA,49.2,16.8,38.5,2.4,30.5
TRENTINO-ALTO ADIGE,49.2,16.8,38.5,2.4,30.5
VENETO,49.2,16.8,38.5,2.4,30.5
FRIULI VENEZIA GIULIA,49.2,16.8,38.5,2.4,30.5
LIGURIA,49.2,16.8,38.5,2.4,30.5
EMILIA ROMAGNA,49.2,16.8,38.5,2.4,30.5
TOSCANA,45.4,18.5,34.2,1.8,28.1
UMBRIA,45.4,18.5,34.2,1.8,28.1
MARCHE,45.4,18.5,34.2,1.8,28.1
LAZIO,45.4,18.5,34.2,1.8,28.1
ABRUZZO,40.8,13.2,31.0,1.1,25.3
MOLISE,40.8,13.2,31.0,1.1,25.3
CAMPANIA,40.8,13.2,31.0,1.1,25.3
PUGLIA,40.8,13.2,31.0,1.1,25.3
BASILICATA,40.8,13.2,31.0,1.1,25.3
CALABRIA,40.8,13.2,31.0,1.1,25.3
SICILIA,40.8,13.2,31.0,1.1,25.3
SARDEGNA,40.8,13.2,31.0,1.1,25.3
