Year,ISCED level,Qualification,Salary progression,DK,DE,ES,FR,IT,FI
2020/2021,ISCED 02,Minimum,Starting salary,356828,:,30992.36885282224,26839.498521066667,24297.490766666666,30001.8784
2020/2021,ISCED 1,Minimum,Starting salary,411355.17658205057,54128.94536287058,30992.36885282224,26839.498521066667,24297.490766666666,34196.572799999994
2020/2021,ISCED 24,Minimum,Starting salary,413442.15316842304,60162.82409294328,34619.35540557267,29381.99807452821,26114.216443333335,36734.1312
2020/2021,ISCED 34,Minimum,Starting salary,384928.934544,62926.14224436363,34619.35540557267,29381.99807452821,26114.216443333335,38823.865600000005
2020/2021,ISCED 02,Minimum,After 10 years,404768,:,33648.650335654835,30960.70687626667,26639.460174166667,32713.586640000005
2020/2021,ISCED 1,Minimum,After 10 years,456644.6408563503,62293.422738734786,33648.650335654835,30960.70687626667,26639.460174166667,39454.90122537601
2020/2021,ISCED 24,Minimum,After 10 years,462287.07625153015,68440.13383439842,37597.00915308765,33503.206429728205,28843.1777125,42382.654065024006
2020/2021,ISCED 34,Minimum,After 10 years,500239.089504,71102.71366373966,37597.00915308765,33503.206429728205,29530.1933925,46617.98060304002
2020/2021,ISCED 02,Minimum,After 15 years,404768,:,35861.82731972296,32947.962228799996,29161.896674166666,33025.144608
2020/2021,ISCED 1,Minimum,After 15 years,473443.38134945947,66144.53064280246,35861.82731972296,32947.962228799996,29161.896674166666,42220.50192079284
2020/2021,ISCED 24,Minimum,After 15 years,478004.5189299258,71990.77755522582,40033.769781953364,35490.46178226154,31706.5693075,45353.47629281998
2020/2021,ISCED 34,Minimum,After 15 years,500239.089504,74609.64574915977,40033.769781953364,35490.46178226154,32588.466340833336,48944.43982551554
2020/2021,ISCED 02,Minimum,At the top of the range,404768,:,44248.17636196196,47628.6412544,35373.33197666666,33025.144608
2020/2021,ISCED 1,Minimum,At the top of the range,473443.38134945947,70749.38840648974,44248.17636196196,47628.6412544,35373.33197666666,44753.73203604041
2020/2021,ISCED 24,Minimum,At the top of the range,478004.5189299258,78520.7482971402,49306.93447488961,50424.03476320769,38842.937889166664,48074.68487038918
2020/2021,ISCED 34,Minimum,At the top of the range,500239.089504,85588.79738899824,49306.93447488961,50424.03476320769,40597.24098083333,51881.10621504647
2020/2021,ISCED 02,Higher (if most common),Starting salary,a,a,a,a,a,a
2020/2021,ISCED 1,Higher (if most common),Starting salary,a,a,a,a,a,a
2020/2021,ISCED 24,Higher (if most common),Starting salary,a,a,a,a,a,a
2020/2021,ISCED 34,Higher (if most common),Starting salary,a,a,a,a,a,a
2020/2021,ISCED 02,Higher (if most common),After 10 years,a,a,a,a,a,a
2020/2021,ISCED 1,Higher (if most common),After 10 years,a,a,a,a,a,a
2020/2021,ISCED 24,Higher (if most common),After 10 years,a,a,a,a,a,a
2020/2021,ISCED 34,Higher (if most common),After 10 years,a,a,a,a,a,a
2020/2021,ISCED 02,Higher (if most common),After 15 years,a,a,a,a,a,a
2020/2021,ISCED 1,Higher (if most common),After 15 years,a,a,a,a,a,a
