Regione,Macroarea,shiw_spesa_mediana_annua_istruzione_euro_n,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,1308.7,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,1542.9,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,1363.8,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,1337.8,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,1430.6,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,1530.8,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,1390.1,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,1475.2,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,1372.7,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,1338.6,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,1335.8,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,1192.9,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,910.1,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,947.1,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,897.9,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,873.8,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,841.7,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,862.7,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,859.5,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,855.0,Banca d'Italia SHIW Bilanci Famiglie,Verificato e Certificato - Osservatorio Italienation
