regione,inps_actual_gross_annual_wage_18_24_eur,inps_actual_gross_annual_wage_25_29_eur,inps_mean_paid_workdays_per_year_under_30,intermittent_seasonal_penalty_pct
PIEMONTE,14500,22800,244,6.2
VALLE D'AOSTA,14500,22800,244,6.2
LOMBARDIA,14500,22800,244,6.2
TRENTINO-ALTO ADIGE,14500,22800,244,6.2
VENETO,14500,22800,244,6.2
FRIULI VENEZIA GIULIA,14500,22800,244,6.2
LIGURIA,14500,22800,244,6.2
EMILIA ROMAGNA,14500,22800,244,6.2
TOSCANA,11400,18200,208,20.0
UMBRIA,11400,18200,208,20.0
MARCHE,11400,18200,208,20.0
LAZIO,11400,18200,208,20.0
ABRUZZO,14500,22800,244,6.2
MOLISE,8200,13800,162,37.7
CAMPANIA,8200,13800,162,37.7
PUGLIA,8200,13800,162,37.7
BASILICATA,8200,13800,162,37.7
CALABRIA,8200,13800,162,37.7
SICILIA,8200,13800,162,37.7
SARDEGNA,8200,13800,162,37.7
