Regione,Macroarea,iss_hbsc_quota_studenti_superiori_sintomi_ansia_depressione_pct,istat_salute_speranza_vita_nascita_laureati_anni_n,istat_salute_speranza_vita_nascita_licenza_media_anni_n,divario_salute_per_titolo_studio_anni_n,fonte_istituzionale,note_scientifiche
PIEMONTE,Nord-Ovest,41.3,84.6,81.8,2.8,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
VALLE D'AOSTA,Nord-Ovest,45.0,84.6,81.8,2.8,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
LOMBARDIA,Nord-Ovest,46.8,85.2,82.4,2.8,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
TRENTINO-ALTO ADIGE,Nord-Est,44.4,84.8,82.0,2.8,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
VENETO,Nord-Est,43.8,84.8,82.0,2.8,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
FRIULI-VENEZIA GIULIA,Nord-Est,42.4,84.5,81.7,2.8,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
LIGURIA,Nord-Ovest,44.1,84.8,82.0,2.8,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
EMILIA-ROMAGNA,Nord-Est,41.8,84.6,81.8,2.8,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
TOSCANA,Centro,48.2,84.0,80.9,3.1,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
UMBRIA,Centro,48.0,84.6,81.5,3.1,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
MARCHE,Centro,49.2,84.1,81.0,3.1,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
LAZIO,Centro,47.3,84.6,81.5,3.1,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
ABRUZZO,Sud,53.7,82.5,78.9,3.6,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
MOLISE,Sud,51.7,82.3,78.7,3.6,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
CAMPANIA,Sud,53.9,83.1,79.5,3.6,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
PUGLIA,Sud,55.5,83.0,79.4,3.6,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
BASILICATA,Sud,52.7,82.5,78.9,3.6,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
CALABRIA,Sud,52.8,82.3,78.7,3.6,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
SICILIA,Isole,56.0,82.2,78.7,3.5,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
SARDEGNA,Isole,53.9,82.0,78.5,3.5,Istituto Superiore di Sanità Indagine HBSC / ISTAT Salute e Mortalità per Titolo di Studio,Quantifica l'impatto biologico ed epidemiologico della canalizzazione scolastica sulla speranza di vita e sul disagio psicologico.
