Regione,Macroarea,eurostat_overqualification_rate_tertiary_employed_pct,fonte_istituzionale,regolarita_metodologica
PIEMONTE,Nord-Ovest,19.2,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
VALLE D'AOSTA,Nord-Ovest,20.6,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
LOMBARDIA,Nord-Ovest,19.0,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
TRENTINO-ALTO ADIGE,Nord-Est,19.0,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
VENETO,Nord-Est,18.1,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
FRIULI-VENEZIA GIULIA,Nord-Est,19.1,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
LIGURIA,Nord-Ovest,19.6,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
EMILIA-ROMAGNA,Nord-Est,20.7,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
TOSCANA,Centro,22.0,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
UMBRIA,Centro,23.6,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
MARCHE,Centro,21.4,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
LAZIO,Centro,23.8,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
ABRUZZO,Sud,28.5,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
MOLISE,Sud,27.3,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
CAMPANIA,Sud,30.4,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
PUGLIA,Sud,29.1,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
BASILICATA,Sud,27.5,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
CALABRIA,Sud,29.1,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
SICILIA,Isole,28.4,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
SARDEGNA,Isole,30.0,Eurostat LFS Over-qualification,Verificato e Certificato - Osservatorio Italienation
