Denominazione,grado,anno,Pct_dispersione_clean,Pct_eccellenze_clean
VALLE D'AOSTA,13,2018-19,6.30630630630631,4.5045045045045
VALLE D'AOSTA,13,2018-19,6.97674418604651,3.48837209302326
VALLE D'AOSTA,13,2018-19,4.0,8.0
VALLE D'AOSTA,13,2018-19,4.47761194029851,7.46268656716418
VALLE D'AOSTA,13,2018-19,0.0,0.0
VALLE D'AOSTA,13,2018-19,0.0,0.0
VALLE D'AOSTA,13,2018-19,2.82776349614396,29.0488431876607
VALLE D'AOSTA,8,2017-18,9.22242314647378,28.75226039783
VALLE D'AOSTA,13,2018-19,2.20994475138122,36.7403314917127
VALLE D'AOSTA,8,2017-18,7.88675429726997,31.5470171890799
VALLE D'AOSTA,13,2018-19,2.17391304347826,27.8985507246377
VALLE D'AOSTA,8,2017-18,8.1981981981982,29.7297297297297
VALLE D'AOSTA,13,2018-19,1.59453302961276,26.879271070615
VALLE D'AOSTA,8,2017-18,7.18132854578097,30.7001795332136
VALLE D'AOSTA,13,2018-19,16.6666666666667,2.08333333333333
VALLE D'AOSTA,13,2018-19,16.6666666666667,2.08333333333333
VALLE D'AOSTA,13,2018-19,37.5,0.0
VALLE D'AOSTA,13,2018-19,0.0,42.8571428571429
VALLE D'AOSTA,8,2017-18,22.8571428571429,2.85714285714286
PIEMONTE,13,2018-19,3.41736502266795,24.0898475065256
PIEMONTE,8,2017-18,12.6159102000976,25.2318204001952
VALLE D'AOSTA,13,2018-19,826446280991736.0,9.91735537190083
VALLE D'AOSTA,13,2018-19,1.17647058823529,9.41176470588235
VALLE D'AOSTA,13,2018-19,0.0,11.1111111111111
VALLE D'AOSTA,13,2018-19,0.0,2.94117647058824
VALLE D'AOSTA,13,2018-19,0.0,100.0
VALLE D'AOSTA,13,2018-19,0.0,25.0
PIEMONTE,13,2018-19,3.88047018835859,25.0743520747769
PIEMONTE,8,2017-18,14.4030322173089,23.3786060223205
VALLE D'AOSTA,13,2018-19,0.0,20.0
VALLE D'AOSTA,8,2017-18,2.94117647058824,26.4705882352941
LIGURIA,13,2018-19,4.07716371220021,20.740354535975
LIGURIA,8,2017-18,12.9253926701571,23.1511780104712
PIEMONTE,13,2018-19,2.9811924769908,23.1625983726824
PIEMONTE,8,2017-18,10.712887894884,27.2015655577299
VALLE D'AOSTA,13,2018-19,1.35135135135135,20.9459459459459
VALLE D'AOSTA,13,2018-19,0.0,17.6470588235294
VALLE D'AOSTA,13,2018-19,1.52671755725191,21.3740458015267
VALLE D'AOSTA,13,2018-19,2.8169014084507,26.7605633802817
VALLE D'AOSTA,13,2018-19,0.0,0.0
PIEMONTE,13,2018-19,3.14877264528272,25.4685906987687
PIEMONTE,8,2017-18,11.1085884795018,27.5849766476388
LOMBARDIA,13,2018-19,2.22055962890917,30.0808020350142
LOMBARDIA,8,2017-18,8.96426543134264,29.3994498947673
VALLE D'AOSTA,13,2018-19,0.0,18.1818181818182
VALLE D'AOSTA,13,2018-19,0.0,21.2121212121212
VALLE D'AOSTA,13,2018-19,0.0,9.09090909090909
VALLE D'AOSTA,13,2018-19,0.0,24.0
VALLE D'AOSTA,13,2018-19,0.0,0.0
VALLE D'AOSTA,13,2018-19,0.0,0.0
LIGURIA,13,2018-19,4.98910675381264,20.8061002178649
LIGURIA,8,2017-18,14.4516950501353,21.1204838452968
PIEMONTE,13,2018-19,5.49607423269094,13.8472519628837
PIEMONTE,8,2017-18,27.603305785124,7.98898071625344
VENETO,13,2018-19,2.0835078899595,28.3088954056696
VENETO,8,2017-18,8.81279943738737,28.9657597468243
LIGURIA,13,2018-19,3.24,20.68
LIGURIA,8,2017-18,11.3112270661505,25.2987712506312
VALLE D'AOSTA,13,2018-19,0.0,72.0930232558139
VALLE D'AOSTA,13,2018-19,0.0,67.8571428571429
VALLE D'AOSTA,13,2018-19,0.0,80.0
VALLE D'AOSTA,13,2018-19,0.0,73.8095238095238
PIEMONTE,13,2018-19,3.96539293439077,16.5825522710887
PIEMONTE,8,2017-18,16.6299905690035,13.7063816409934
FRIULI-VENEZIA GIULIA,13,2018-19,1.85679611650485,32.4514563106796
FRIULI-VENEZIA GIULIA,8,2017-18,7.20887245841035,30.447730540152
VALLE D'AOSTA,13,2018-19,0.0,16.6666666666667
VALLE D'AOSTA,13,2018-19,0.0,15.5172413793103
VALLE D'AOSTA,13,2018-19,0.0,20.0
VALLE D'AOSTA,13,2018-19,0.0,0.0
LOMBARDIA,13,2018-19,2.48619636632839,30.8276010981215
LOMBARDIA,8,2017-18,10.545111958284,27.4834582183077
LIGURIA,13,2018-19,3.78307195019753,22.1597031006824
LIGURIA,8,2017-18,11.1364537881793,25.3768345894486
EMILIA-ROMAGNA,13,2018-19,3.68734013221274,26.658472577484
EMILIA-ROMAGNA,8,2017-18,11.1498711373754,27.9983338973785
LOMBARDIA,13,2018-19,1.97030019470518,29.377234024004
LOMBARDIA,8,2017-18,7.32889432441002,31.3833401277347
VALLE D'AOSTA,13,2018-19,0.0,47.7777777777778
VALLE D'AOSTA,13,2018-19,0.0,48.4848484848485
VALLE D'AOSTA,13,2018-19,0.0,45.8333333333333
VALLE D'AOSTA,13,2018-19,0.0,48.2758620689655
VALLE D'AOSTA,13,2018-19,0.0,33.3333333333333
VALLE D'AOSTA,13,2018-19,0.0,0.0
LIGURIA,13,2018-19,5.59139784946237,10.5376344086022
LIGURIA,8,2017-18,30.5555555555556,7.25308641975309
TOSCANA,13,2018-19,5.35911602209945,19.7000789265983
TOSCANA,8,2017-18,12.2716466466466,25.1094844844845
VALLE D'AOSTA,13,2018-19,0.0,60.0
VALLE D'AOSTA,13,2018-19,0.0,56.0606060606061
VALLE D'AOSTA,13,2018-19,0.0,63.2911392405063
VALLE D'AOSTA,13,2018-19,0.0,76.7857142857143
VALLE D'AOSTA,13,2018-19,0.0,100.0
VALLE D'AOSTA,13,2018-19,0.0,75.0
VENETO,13,2018-19,2.56337387745822,28.6972831647152
VENETO,8,2017-18,10.4274750246538,26.4031213823265
LIGURIA,13,2018-19,3.33333333333333,13.3333333333333
LIGURIA,8,2017-18,18.2302771855011,12.2601279317697
UMBRIA,13,2018-19,5.96595345931595,17.6479775105419
UMBRIA,8,2017-18,11.1422097827536,26.5893642542983
VENETO,13,2018-19,1.61990006040305,27.9336664653232
VENETO,8,2017-18,7.11548000180367,31.663435090409
PIEMONTE,13,2018-19,11.759194190677,2.27219489341766
PIEMONTE,13,2018-19,11.5189873417722,1.94092827004219
PIEMONTE,13,2018-19,12.0589784096893,2.68562401263823
PIEMONTE,13,2018-19,11.3286713286713,2.51748251748252
PIEMONTE,13,2018-19,13.4328358208955,1.11940298507463
PIEMONTE,13,2018-19,12.8099173553719,826446280991736.0
LOMBARDIA,13,2018-19,1.91139326916513,32.1404191412383
LOMBARDIA,8,2017-18,7.1657190703202,32.9777033505746
MARCHE,13,2018-19,5.82019183872541,19.9398471793204
MARCHE,8,2017-18,9.72671836181585,28.5025973048257
PIEMONTE,13,2018-19,13.9498432601881,1.48902821316614
PIEMONTE,13,2018-19,11.8942731277533,881057268722467.0
PIEMONTE,13,2018-19,14.3946615824595,1.62059103908484
PIEMONTE,13,2018-19,13.6263736263736,1.86813186813187
PIEMONTE,13,2018-19,15.7303370786517,1.12359550561798
PIEMONTE,13,2018-19,15.2941176470588,0.0
FRIULI-VENEZIA GIULIA,13,2018-19,2.66568843237955,33.3088774761555
FRIULI-VENEZIA GIULIA,8,2017-18,8.21001419014798,28.4411108858707
LOMBARDIA,13,2018-19,4.33333333333333,12.8
