provincia,macro_area,ORDINESCUOLA,alunni_tot,alunni_stranieri,pct_alunni_stranieri
Bari,Sud,SCUOLA PRIMARIA,48900,2989,6.1
Bari,Sud,SCUOLA SECONDARIA I GRADO,32446,1601,4.9
Bari,Sud,SCUOLA SECONDARIA II GRADO,59898,2164,3.6
Bologna,Nord,SCUOLA PRIMARIA,37191,8787,23.6
Bologna,Nord,SCUOLA SECONDARIA I GRADO,24327,5033,20.7
Bologna,Nord,SCUOLA SECONDARIA II GRADO,39349,5612,14.3
Cagliari,Sud,SCUOLA PRIMARIA,22944,735,3.2
Cagliari,Sud,SCUOLA SECONDARIA I GRADO,17038,513,3.0
Cagliari,Sud,SCUOLA SECONDARIA II GRADO,30723,811,2.6
Catania,Sud,SCUOLA PRIMARIA,48026,1732,3.6
Catania,Sud,SCUOLA SECONDARIA I GRADO,30942,1046,3.4
Catania,Sud,SCUOLA SECONDARIA II GRADO,50235,1438,2.9
Firenze,Centro,SCUOLA PRIMARIA,33791,7129,21.1
Firenze,Centro,SCUOLA SECONDARIA I GRADO,24555,4799,19.5
Firenze,Centro,SCUOLA SECONDARIA II GRADO,41403,6037,14.6
Genova,Nord,SCUOLA PRIMARIA,25545,5797,22.7
Genova,Nord,SCUOLA SECONDARIA I GRADO,18584,3632,19.5
Genova,Nord,SCUOLA SECONDARIA II GRADO,32054,4290,13.4
Milano,Nord,SCUOLA PRIMARIA,116980,29843,25.5
Milano,Nord,SCUOLA SECONDARIA I GRADO,77119,18077,23.4
Milano,Nord,SCUOLA SECONDARIA II GRADO,112941,18633,16.5
Napoli,Sud,SCUOLA PRIMARIA,121595,4813,4.0
Napoli,Sud,SCUOLA SECONDARIA I GRADO,90808,3310,3.6
Napoli,Sud,SCUOLA SECONDARIA II GRADO,156547,4368,2.8
Palermo,Sud,SCUOLA PRIMARIA,51464,1750,3.4
Palermo,Sud,SCUOLA SECONDARIA I GRADO,34217,1013,3.0
Palermo,Sud,SCUOLA SECONDARIA II GRADO,52910,1554,2.9
Roma,Centro,SCUOLA PRIMARIA,150801,23209,15.4
Roma,Centro,SCUOLA SECONDARIA I GRADO,108465,14229,13.1
Roma,Centro,SCUOLA SECONDARIA II GRADO,176941,17751,10.0
Torino,Nord,SCUOLA PRIMARIA,76412,14004,18.3
Torino,Nord,SCUOLA SECONDARIA I GRADO,53236,8793,16.5
Torino,Nord,SCUOLA SECONDARIA II GRADO,89889,10978,12.2
Venezia,Nord,SCUOLA PRIMARIA,29265,6353,21.7
Venezia,Nord,SCUOLA SECONDARIA I GRADO,20822,3832,18.4
Venezia,Nord,SCUOLA SECONDARIA II GRADO,31713,3681,11.6
