region,explicit_dropout_esl_pct,implicit_dropout_grade13_pct,total_dispersion_index_pct,invalsi_math_score_dev
àAàbàràuàzàzàoà,9.4,8.2,17.6,-14.2
àBàaàsàiàlàiàcàaàtàaà,10.2,11.5,21.7,-21.5
àCàaàlàaàbàràiàaà,14.9,18.8,33.7,-34.8
àCàaàmàpàaànàiàaà,16.4,19.8,36.2,-36.5
àEàmàiàlàiàaà-àRàoàmàaàgànàaà,8.2,5.1,13.3,18.4
àFàràiàuàlàià-àVàeànàeàzàiàaà àGàiàuàlàiàaà,7.8,4.8,12.6,21.2
àLàaàzàiàoà,9.8,7.9,17.7,-2.4
àLàiàgàuàràiàaà,10.5,6.8,17.3,5.1
àLàoàmàbàaàràdàiàaà,8.9,4.9,13.8,24.5
àMàaàràcàhàeà,8.5,6.2,14.7,12.8
àMàoàlàiàsàeà,9.1,9.8,18.9,-18.2
àPàiàeàmàoànàtàeà,9.6,5.8,15.4,16.2
àPàuàgàlàiàaà,15.2,16.2,31.4,-28.4
àSàaàràdàeàgànàaà,17.3,18.5,35.8,-31.2
àSàiàcàiàlàiàaà,18.8,21.4,40.2,-38.9
àTàoàsàcàaànàaà,8.8,5.9,14.7,14.5
àTàràeànàtàiànàoà-àAàlàtàoà àAàdàiàgàeà,7.1,3.8,10.9,32.1
àUàmàbàràiàaà,8.4,6.5,14.9,9.8
àVàaàlàlàeà àdà'àAàoàsàtàaà,9.2,5.2,14.4,15.8
àVàeànàeàtàoà,8.5,4.5,13.0,26.8
