region,macro_area,students_with_disability_l104,total_sostegno_teaching_posts,precarious_substitute_sostegno_posts,precariato_sostegno_share_pct,non_specialized_sostegno_share_pct,student_to_sostegno_teacher_ratio,pedagogical_continuity_status
Lombardia,Nord-Ovest,58420,31200,19450,62.3,44.2,1.87,Severe Continuity Deficit (Over 60% annual turnover destroys classroom relational security)
Campania,Sud,46850,26400,18200,68.9,52.8,1.77,Severe Continuity Deficit (Over 60% annual turnover destroys classroom relational security)
Sicilia,Isole,41200,23800,16800,70.5,54.5,1.73,Severe Continuity Deficit (Over 60% annual turnover destroys classroom relational security)
Lazio,Centro,38900,21500,14200,66.0,48.0,1.81,Severe Continuity Deficit (Over 60% annual turnover destroys classroom relational security)
Veneto,Nord-Est,28400,14800,8900,60.1,41.5,1.92,Severe Continuity Deficit (Over 60% annual turnover destroys classroom relational security)
Puglia,Sud,29800,16900,11500,68.0,51.2,1.76,Severe Continuity Deficit (Over 60% annual turnover destroys classroom relational security)
Piemonte,Nord-Ovest,26200,13800,8400,60.8,42.8,1.9,Severe Continuity Deficit (Over 60% annual turnover destroys classroom relational security)
Emilia-Romagna,Nord-Est,27100,14200,8500,59.8,40.2,1.91,Moderate Continuity Buffer
Calabria,Sud,18500,11200,8100,72.3,56.4,1.65,Severe Continuity Deficit (Over 60% annual turnover destroys classroom relational security)
Sardegna,Isole,14800,8900,6100,68.5,51.0,1.66,Severe Continuity Deficit (Over 60% annual turnover destroys classroom relational security)
Toscana,Centro,24500,12800,7600,59.3,40.8,1.91,Moderate Continuity Buffer
Liguria,Nord-Ovest,11200,6100,3700,60.6,43.0,1.84,Severe Continuity Deficit (Over 60% annual turnover destroys classroom relational security)
Marche,Centro,10800,5800,3400,58.6,39.5,1.86,Moderate Continuity Buffer
Abruzzo,Sud,9800,5600,3600,64.2,46.8,1.75,Severe Continuity Deficit (Over 60% annual turnover destroys classroom relational security)
Friuli-Venezia Giulia,Nord-Est,8400,4400,2500,56.8,38.2,1.91,Moderate Continuity Buffer
Trentino-Alto Adige,Nord-Est,7200,3500,1800,51.4,32.5,2.06,Moderate Continuity Buffer
Umbria,Centro,6800,3600,2100,58.3,39.0,1.89,Moderate Continuity Buffer
Basilicata,Sud,4600,2800,1900,67.8,50.5,1.64,Severe Continuity Deficit (Over 60% annual turnover destroys classroom relational security)
Molise,Sud,2400,1500,1050,70.0,53.0,1.6,Severe Continuity Deficit (Over 60% annual turnover destroys classroom relational security)
Valle d'Aosta,Nord-Ovest,1100,550,280,50.9,31.8,2.0,Moderate Continuity Buffer
