degree_discipline,ford_area,emp_rate_5yr_pct,net_monthly_wage_eur,working_abroad_brain_drain_pct,precarious_contract_pct
àIànàgàeàgànàeàràiàaà à/à àEànàgàiànàeàeàràiànàgà à(àSàTàEàMà)à,àFàoàRàDà à0à2à,94.2,1890,14.8,8.5
àIànàfàoàràmàaàtàiàcàaà à&à àIàCàTà à(àSàTàEàMà)à,àFàoàRàDà à0à2à,95.8,1950,16.2,7.2
àMàeàdàiàcàiànàaà àeà àCàhàiàràuàràgàiàaà,àFàoàRàDà à0à3à,96.5,2150,11.5,12.4
àEàcàoànàoàmàiàaà àeà àSàtàaàtàiàsàtàiàcàaà,àFàoàRàDà à0à5à,91.4,1720,12.1,14.2
àAàràcàhàiàtàeàtàtàuàràaà àeà àIànàgàeàgànàeàràiàaà àCàiàvàiàlàeà,àFàoàRàDà à0à2à,88.5,1610,13.5,22.8
àSàcàiàeànàzàeà àBàiàoàlàoàgàiàcàhàeà àeà àCàhàiàmàiàcàhàeà,àFàoàRàDà à0à1à,83.2,1540,18.9,31.4
àSàcàiàeànàzàeà àGàiàuàràiàdàiàcàhàeà à(àGàiàuàràiàsàpàràuàdàeànàzàaà)à,àFàoàRàDà à0à5à,78.4,1480,4.8,28.5
"àLàeàtàtàeàràeà,à àFàiàlàoàsàoàfàiàaà àeà àSàtàoàràiàaà à(àHàuàmàaànàiàtàiàeàsà)à",àFàoàRàDà à0à6à,76.8,1380,9.4,36.8
àPàsàiàcàoàlàoàgàiàaà àeà àSàcàiàeànàzàeà àdàeàlàlàaà àFàoàràmàaàzàiàoànàeà,àFàoàRàDà à0à5à,79.2,1350,6.5,38.4
àLàiànàgàuàeà àeà àMàeàdàiàaàzàiàoànàeà àCàuàlàtàuàràaàlàeà,àFàoàRàDà à0à6à,77.5,1390,15.2,34.2
