comune,macro_area,neet_rate_15_29_pct,early_school_leavers_pct,nursery_coverage_pct,escs_context_index,poverty_risk_pct
àCàaàtàaànàiàaà,àSàuàdà,25.4,18.2,12.1,-0.42,38.5
àPàaàlàeàràmàoà,àSàuàdà,24.1,17.5,13.8,-0.38,36.8
àNàaàpàoàlàià,àSàuàdà,23.5,16.9,11.5,-0.45,39.2
àBàaàràià,àSàuàdà,19.8,14.2,18.4,-0.22,31.0
àGàeànàoàvàaà,àNàoàràdà-àOàvàeàsàtà,14.5,11.0,31.2,0.08,18.5
àRàoàmàaà,àCàeànàtàràoà,14.2,10.1,33.5,0.12,19.8
àTàoàràiànàoà,àNàoàràdà-àOàvàeàsàtà,13.5,10.5,34.1,0.15,17.9
àMàiàlàaànàoà,àNàoàràdà-àOàvàeàsàtà,11.8,8.8,42.6,0.35,15.2
àFàiàràeànàzàeà,àCàeànàtàràoà,10.4,7.9,44.8,0.28,14.1
àBàoàlàoàgànàaà,àNàoàràdà-àEàsàtà,8.9,7.2,46.5,0.38,12.5
