AnnoS;AteneoNOME;AteneoCOD;Nome Gruppo Disciplinare;RegioneSedeDiploma;Lau
2024;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;ABRUZZO;1
2024;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;BASILICATA;16
2024;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CALABRIA;10
2024;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CAMPANIA;7
2024;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;FRIULI VENEZIA GIULIA;1
2024;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LAZIO;2
2024;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LOMBARDIA;2
2024;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PUGLIA;242
2024;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE ESTERA;3
2024;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE NON FORNITA;3
2024;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;SICILIA;3
2024;Bari;7201;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;VENETO;1
2024;Basilicata;7601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;ABRUZZO;1
2024;Basilicata;7601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;BASILICATA;51
2024;Basilicata;7601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CALABRIA;2
2024;Basilicata;7601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CAMPANIA;15
2024;Basilicata;7601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PUGLIA;5
2024;Basilicata;7601;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE NON FORNITA;1
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;ABRUZZO;22
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;BASILICATA;8
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CALABRIA;17
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CAMPANIA;21
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;EMILIA ROMAGNA;342
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;FRIULI VENEZIA GIULIA;7
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LAZIO;16
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LIGURIA;1
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LOMBARDIA;31
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;MARCHE;30
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;MOLISE;1
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PIEMONTE;6
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Provincia autonoma di BOLZANO;2
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Provincia autonoma di TRENTO;18
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PUGLIA;39
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE ESTERA;9
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE NON FORNITA;19
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;SARDEGNA;1
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;SICILIA;20
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;TOSCANA;24
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;UMBRIA;5
2024;Bologna;3701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;VENETO;43
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CAMPANIA;1
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;EMILIA ROMAGNA;2
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;FRIULI VENEZIA GIULIA;2
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LAZIO;2
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LOMBARDIA;5
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;MARCHE;1
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PIEMONTE;1
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Provincia autonoma di BOLZANO;17
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Provincia autonoma di TRENTO;11
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE ESTERA;19
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;SICILIA;1
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;TOSCANA;1
2024;Bolzano;2101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;VENETO;4
2024;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LIGURIA;1
2024;Bra Scienze Gastronomiche;401;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE NON FORNITA;1
2024;Brescia;1701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LOMBARDIA;44
2024;Brescia;1701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;UMBRIA;1
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CALABRIA;2
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CAMPANIA;2
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;EMILIA ROMAGNA;4
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;FRIULI VENEZIA GIULIA;1
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LAZIO;5
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;MARCHE;16
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PIEMONTE;3
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Provincia autonoma di BOLZANO;1
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PUGLIA;2
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE ESTERA;1
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE NON FORNITA;3
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;TOSCANA;6
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;UMBRIA;1
2024;Camerino;4302;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;VENETO;2
2024;Catania;8701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CALABRIA;2
2024;Catania;8701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PUGLIA;1
2024;Catania;8701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE ESTERA;1
2024;Catania;8701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE NON FORNITA;2
2024;Catania;8701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;SICILIA;258
2024;Catania;8701;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;TOSCANA;1
2024;Catanzaro;7901;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CALABRIA;11
2024;Catanzaro;7901;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE NON FORNITA;2
2024;Ferrara;3801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;EMILIA ROMAGNA;12
2024;Ferrara;3801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;VENETO;5
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;ABRUZZO;4
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CALABRIA;5
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CAMPANIA;3
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;EMILIA ROMAGNA;5
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;FRIULI VENEZIA GIULIA;1
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LAZIO;6
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LIGURIA;1
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;LOMBARDIA;3
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;MARCHE;4
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PIEMONTE;2
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Provincia autonoma di BOLZANO;1
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;Provincia autonoma di TRENTO;1
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;PUGLIA;3
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE ESTERA;12
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;REGIONE NON FORNITA;1
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;SARDEGNA;1
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;SICILIA;7
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;TOSCANA;224
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;UMBRIA;4
2024;Firenze;4801;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;VENETO;10
2024;Foggia;7101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;BASILICATA;1
2024;Foggia;7101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CALABRIA;1
2024;Foggia;7101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;CAMPANIA;2
2024;Foggia;7101;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;MOLISE;3
