ANNO;AteneoCOD;AteneoNOME;CorsoTIPO;PROVENIENZA;Genere;ISC
2024/2025;00101;Torino - Università degli studi;Laurea;0;F;23568
2024/2025;00101;Torino - Università degli studi;Laurea;0;M;16290
2024/2025;00101;Torino - Università degli studi;Laurea;1;F;5419
2024/2025;00101;Torino - Università degli studi;Laurea;1;M;3685
2024/2025;00101;Torino - Università degli studi;Laurea Magistrale;0;F;5807
2024/2025;00101;Torino - Università degli studi;Laurea Magistrale;0;M;3830
2024/2025;00101;Torino - Università degli studi;Laurea Magistrale;1;F;4633
2024/2025;00101;Torino - Università degli studi;Laurea Magistrale;1;M;2528
2024/2025;00101;Torino - Università degli studi;Laurea Magistrale Ciclo Unico;0;F;7329
2024/2025;00101;Torino - Università degli studi;Laurea Magistrale Ciclo Unico;0;M;2723
2024/2025;00101;Torino - Università degli studi;Laurea Magistrale Ciclo Unico;1;F;1716
2024/2025;00101;Torino - Università degli studi;Laurea Magistrale Ciclo Unico;1;M;742
2024/2025;00101;Torino - Università degli studi;Vecchio Ordinamento;0;F;526
2024/2025;00101;Torino - Università degli studi;Vecchio Ordinamento;0;M;243
2024/2025;00101;Torino - Università degli studi;Vecchio Ordinamento;1;F;51
2024/2025;00101;Torino - Università degli studi;Vecchio Ordinamento;1;M;32
2024/2025;00102;Torino - Politecnico;Laurea;0;F;3554
2024/2025;00102;Torino - Politecnico;Laurea;0;M;8062
2024/2025;00102;Torino - Politecnico;Laurea;1;F;2438
2024/2025;00102;Torino - Politecnico;Laurea;1;M;5448
2024/2025;00102;Torino - Politecnico;Laurea Magistrale;0;F;2578
2024/2025;00102;Torino - Politecnico;Laurea Magistrale;0;M;5094
2024/2025;00102;Torino - Politecnico;Laurea Magistrale;1;F;2814
2024/2025;00102;Torino - Politecnico;Laurea Magistrale;1;M;5617
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Laurea;0;F;4003
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Laurea;0;M;2904
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Laurea;1;F;1414
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Laurea;1;M;1082
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Laurea Magistrale;0;F;747
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Laurea Magistrale;0;M;506
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Laurea Magistrale;1;F;305
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Laurea Magistrale;1;M;176
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Laurea Magistrale Ciclo Unico;0;F;1313
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Laurea Magistrale Ciclo Unico;0;M;620
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Laurea Magistrale Ciclo Unico;1;F;802
2024/2025;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Laurea Magistrale Ciclo Unico;1;M;363
2024/2025;00401;Bra (CN) - Università di Scienze Gastronomiche;Laurea;0;F;42
