Decreto Ministeriale;Cod_settore;Settore_Descrizione;Area_Descrizione;FoRD;Area STEM
DM ottobre 2000;AGR/01;AGR/01 ECONOMIA ED ESTIMO RURALE;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/02;AGR/02 AGRONOMIA E COLTIVAZIONI ERBACEE;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/03;AGR/03 ARBORICOLTURA GENERALE E COLTIVAZIONI ARBOREE;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/04;AGR/04 ORTICOLTURA E FLORICOLTURA;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/05;AGR/05 ASSESTAMENTO FORESTALE E SELVICOLTURA;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/06;AGR/06 TECNOLOGIA DEL LEGNO E UTILIZZAZIONI FORESTALI;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/07;AGR/07 GENETICA AGRARIA;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/08;AGR/08 IDRAULICA AGRARIA E SISTEMAZIONI IDRAULICO-FORESTALI;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/09;AGR/09 MECCANICA AGRARIA;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/10;AGR/10 COSTRUZIONI RURALI E TERRITORIO AGROFORESTALE;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/11;AGR/11 ENTOMOLOGIA GENERALE E APPLICATA;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/12;AGR/12 PATOLOGIA VEGETALE;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/13;AGR/13 CHIMICA AGRARIA;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/14;AGR/14 PEDOLOGIA;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/15;AGR/15 SCIENZE E TECNOLOGIE ALIMENTARI;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/16;AGR/16 MICROBIOLOGIA AGRARIA;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/17;AGR/17 ZOOTECNICA GENERALE E MIGLIORAMENTO GENETICO;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/18;AGR/18 NUTRIZIONE E ALIMENTAZIONE ANIMALE;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/19;AGR/19 ZOOTECNICA SPECIALE;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM ottobre 2000;AGR/20;AGR/20 ZOOCOLTURE;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-01/A;AGRI-01/A Economia agraria, alimentare ed estimo rurale;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-02/A;AGRI-02/A Agronomia e coltivazioni erbacee;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-02/B;AGRI-02/B Orticoltura e floricoltura;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-03/A;AGRI-03/A Arboricoltura generale e coltivazioni arboree;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-03/B;AGRI-03/B Selvicoltura, pianificazione ed ecologia forestal;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-03/C;AGRI-03/C Tecnologia del legno e utilizzazioni forestali;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-04/A;AGRI-04/A Idraulica agraria e sistemazioni idraulico-forestali;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-04/B;AGRI-04/B Meccanica agraria;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-04/C;AGRI-04/C Costruzioni rurali e territorio agroforestale;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-05/A;AGRI-05/A Entomologia generale e applicata;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-05/B;AGRI-05/B Patologia vegetale;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-06/A;AGRI-06/A Genetica agraria;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-06/B;AGRI-06/B Chimica agraria;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-06/C;AGRI-06/C Pedologia;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-07/A;AGRI-07/A Scienze e tecnologie alimentari;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-08/A;AGRI-08/A Microbiologia agraria, alimentare e ambientale;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-09/A;AGRI-09/A Zootecnia generale e miglioramento genetico;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-09/B;AGRI-09/B Nutrizione e alimentazione animale;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-09/C;AGRI-09/C Zootecnia speciale;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;AGRI-09/D;AGRI-09/D Zoocolture;07 - Scienze agrarie e veterinarie;04 - Agricultural and veterinary sciences;No
DM  639/2024 ;ANGL-01/A;ANGL-01/A Letteratura inglese;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ANGL-01/B;ANGL-01/B Letterature anglo-americane;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ANGL-01/C;ANGL-01/C Lingua, traduzione e linguistica inglese;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ARCH-01/A;ARCH-01/A Preistoria e protostoria;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ARCH-01/B;ARCH-01/B Numismatica;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ARCH-01/C;ARCH-01/C Civiltà dell’Italia preromana ed etruscologia;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ARCH-01/D;ARCH-01/D Archeologia classica;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ARCH-01/E;ARCH-01/E Archeologia cristiana, tardoantica e medievale;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ARCH-01/F;ARCH-01/F Topografia antica;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ARCH-01/G;ARCH-01/G Metodologie della ricerca archeologica;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
DM  639/2024 ;ARTE-01/A;ARTE-01/A Storia dell’arte medievale;10 - Scienze dell'antichità, filologico-letterarie e storico-artistiche;06 - Humanities and the arts;No
