ANNO_SOLARE;TIPOLOGIA_COLLEGIO;CODICE_COLLEGIO;NOME_COLLEGIO;TIPOLOGIA_ISTITUTO;CODICE_SPESA;DESCRIZIONE_SPESA;SPESA_LAUREA;SPESA_DOTTORATO;SPESA_SPECIALIZZAZIONE
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S   ;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;14545;0;0
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S   ;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;3258044;296860;14843
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S   ;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;0;0
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S   ;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;0;0
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S   ;5;Mobilità internazionale - Spesa per contributi concessi;51035;1800;0
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S   ;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;0;0
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S   ;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;154649;0;0
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S   ;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;9000;0;0
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S   ;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;0;0
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S   ;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;0;0
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S   ;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;64833;0;0
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S_AF;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;0;;
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S_AF;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;29686;;
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S_AF;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;;
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S_AF;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;;
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S_AF;5;Mobilità internazionale - Spesa per contributi concessi;0;;
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S_AF;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;;
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S_AF;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;0;;
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S_AF;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0;;
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S_AF;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;;
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S_AF;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;;
2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";S_AF;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;0;;
2024;CLR;0313;"Almo Collegio ''Borromeo""";S   ;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;931897;0;2767
2024;CLR;0313;"Almo Collegio ''Borromeo""";S   ;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;2009745;51643;55340
2024;CLR;0313;"Almo Collegio ''Borromeo""";S   ;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;0;0
2024;CLR;0313;"Almo Collegio ''Borromeo""";S   ;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;0;0
2024;CLR;0313;"Almo Collegio ''Borromeo""";S   ;5;Mobilità internazionale - Spesa per contributi concessi;14624;0;0
2024;CLR;0313;"Almo Collegio ''Borromeo""";S   ;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;0;0
2024;CLR;0313;"Almo Collegio ''Borromeo""";S   ;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;0;0;0
2024;CLR;0313;"Almo Collegio ''Borromeo""";S   ;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0;0;0
2024;CLR;0313;"Almo Collegio ''Borromeo""";S   ;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;0;0
2024;CLR;0313;"Almo Collegio ''Borromeo""";S   ;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;0;0
2024;CLR;0313;"Almo Collegio ''Borromeo""";S   ;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;52268;0;0
2024;CLR;0313;"Almo Collegio ''Borromeo""";S_AF;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;0;;
2024;CLR;0313;"Almo Collegio ''Borromeo""";S_AF;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;0;;
2024;CLR;0313;"Almo Collegio ''Borromeo""";S_AF;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;;
2024;CLR;0313;"Almo Collegio ''Borromeo""";S_AF;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;;
2024;CLR;0313;"Almo Collegio ''Borromeo""";S_AF;5;Mobilità internazionale - Spesa per contributi concessi;0;;
2024;CLR;0313;"Almo Collegio ''Borromeo""";S_AF;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;;
2024;CLR;0313;"Almo Collegio ''Borromeo""";S_AF;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;0;;
2024;CLR;0313;"Almo Collegio ''Borromeo""";S_AF;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0;;
2024;CLR;0313;"Almo Collegio ''Borromeo""";S_AF;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;;
2024;CLR;0313;"Almo Collegio ''Borromeo""";S_AF;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;;
2024;CLR;0313;"Almo Collegio ''Borromeo""";S_AF;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;0;;
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S   ;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;67315;0;0
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S   ;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;1413615;484668;161556
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S   ;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;0;0
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S   ;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;0;0
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S   ;5;Mobilità internazionale - Spesa per contributi concessi;6080;0;0
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S   ;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;0;0
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S   ;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;5310;0;0
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S   ;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0;0;0
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S   ;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;0;0
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S   ;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;0;0
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S   ;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;1860;0;0
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S_AF;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;0;;
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S_AF;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;0;;
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S_AF;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;;
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S_AF;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;;
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S_AF;5;Mobilità internazionale - Spesa per contributi concessi;0;;
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S_AF;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;;
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S_AF;7;Attività di collaborazione a tempo parziale - Spesa per attività di collaborazione a tempo parziale;0;;
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S_AF;8;Altri interventi di tipo finanziario - Spesa per premi per il conseguimento del titolo;0;;
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S_AF;9;Altri interventi di tipo finanziario - Spesa per contributi finanziari per il trasporto;0;;
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S_AF;10;Altri interventi di tipo finanziario - Spesa per contributi straordinari;0;;
2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;S_AF;11;Altri interventi di tipo finanziario - Spesa per altri sussidi concessi;0;;
2024;CLR;0316;Collegio universitario Ghislieri;S   ;1;Posti alloggio e contributi-alloggio - Spesa per posti alloggio assegnati gratuitamente;395696,15;143000;0
2024;CLR;0316;Collegio universitario Ghislieri;S   ;2;Posti alloggio e contributi-alloggio - Spesa per posti alloggio a tariffa agevolata;1550622,515;78982,02;0
2024;CLR;0316;Collegio universitario Ghislieri;S   ;3;Posti alloggio e contributi-alloggio - Spesa per contributi assegnati per alloggio esterno;0;0;0
2024;CLR;0316;Collegio universitario Ghislieri;S   ;4;Prestiti di onore e altri prestiti agevolati - Spesa per prestiti concessi;0;0;0
2024;CLR;0316;Collegio universitario Ghislieri;S   ;5;Mobilità internazionale - Spesa per contributi concessi;10411;3300;0
2024;CLR;0316;Collegio universitario Ghislieri;S   ;6;Interventi a favore di studenti in situazione di disabilità - Spesa per interventi concessi;0;0;0
