ANNO_SOLARE;TIPOLOGIA_COLLEGIO;CODICE_COLLEGIO;NOME_COLLEGIO;CODICE_TIPOLOGIA;DESCRIZIONE_TIPOLOGIA;NUMERO
2024;0102;CLR;"Collegio universitario di Torino ''Renato Einaudi""";9;Pasti erogati in mense a gestione diretta;0
2024;0102;CLR;"Collegio universitario di Torino ''Renato Einaudi""";10;Pasti erogati in mense a gestione indiretta;0
2024;0102;CLR;"Collegio universitario di Torino ''Renato Einaudi""";11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;0102;CLR;"Collegio universitario di Torino ''Renato Einaudi""";12;Studenti che usufruiscono delle mense;0
2024;0313;CLR;"Almo Collegio ''Borromeo""";9;Pasti erogati in mense a gestione diretta;80139
2024;0313;CLR;"Almo Collegio ''Borromeo""";10;Pasti erogati in mense a gestione indiretta;0
2024;0313;CLR;"Almo Collegio ''Borromeo""";11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;0313;CLR;"Almo Collegio ''Borromeo""";12;Studenti che usufruiscono delle mense;153
2024;0314;CLR;Collegio Nuovo - Fondazione Sandra e Enea Mattei;9;Pasti erogati in mense a gestione diretta;100000
2024;0314;CLR;Collegio Nuovo - Fondazione Sandra e Enea Mattei;10;Pasti erogati in mense a gestione indiretta;0
2024;0314;CLR;Collegio Nuovo - Fondazione Sandra e Enea Mattei;11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;0314;CLR;Collegio Nuovo - Fondazione Sandra e Enea Mattei;12;Studenti che usufruiscono delle mense;120
2024;0316;CLR;Collegio universitario Ghislieri;9;Pasti erogati in mense a gestione diretta;0
2024;0316;CLR;Collegio universitario Ghislieri;10;Pasti erogati in mense a gestione indiretta;83871
2024;0316;CLR;Collegio universitario Ghislieri;11;Pasti erogati in servizi di ristorazione convenzionati;1224
2024;0316;CLR;Collegio universitario Ghislieri;12;Studenti che usufruiscono delle mense;196
2024;0317;CLR;"Collegio universitario ''S. Caterina da Siena""";9;Pasti erogati in mense a gestione diretta;0
2024;0317;CLR;"Collegio universitario ''S. Caterina da Siena""";10;Pasti erogati in mense a gestione indiretta;46700
2024;0317;CLR;"Collegio universitario ''S. Caterina da Siena""";11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;0317;CLR;"Collegio universitario ''S. Caterina da Siena""";12;Studenti che usufruiscono delle mense;87
2024;0318;CLR;Fondazione Collegio delle Università Milanesi;9;Pasti erogati in mense a gestione diretta;0
2024;0318;CLR;Fondazione Collegio delle Università Milanesi;10;Pasti erogati in mense a gestione indiretta;70789
2024;0318;CLR;Fondazione Collegio delle Università Milanesi;11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;0318;CLR;Fondazione Collegio delle Università Milanesi;12;Studenti che usufruiscono delle mense;322
2024;0346;CLR;Collegio Universitario Lucchini di Brescia;9;Pasti erogati in mense a gestione diretta;0
2024;0346;CLR;Collegio Universitario Lucchini di Brescia;10;Pasti erogati in mense a gestione indiretta;0
2024;0346;CLR;Collegio Universitario Lucchini di Brescia;11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;0346;CLR;Collegio Universitario Lucchini di Brescia;12;Studenti che usufruiscono delle mense;0
2024;0508;CLR;"Collegio universitario ''don Nicola Mazza""";9;Pasti erogati in mense a gestione diretta;0
2024;0508;CLR;"Collegio universitario ''don Nicola Mazza""";10;Pasti erogati in mense a gestione indiretta;241230
2024;0508;CLR;"Collegio universitario ''don Nicola Mazza""";11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;0508;CLR;"Collegio universitario ''don Nicola Mazza""";12;Studenti che usufruiscono delle mense;427
2024;0604;CLR;Collegio Universitario L. Fonda di Trieste;9;Pasti erogati in mense a gestione diretta;0
2024;0604;CLR;Collegio Universitario L. Fonda di Trieste;10;Pasti erogati in mense a gestione indiretta;0
2024;0604;CLR;Collegio Universitario L. Fonda di Trieste;11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;0604;CLR;Collegio Universitario L. Fonda di Trieste;12;Studenti che usufruiscono delle mense;0
2024;0805;CLR;Fondazione Ceur - Centro europeo università e ricerca;9;Pasti erogati in mense a gestione diretta;0
2024;0805;CLR;Fondazione Ceur - Centro europeo università e ricerca;10;Pasti erogati in mense a gestione indiretta;471203
2024;0805;CLR;Fondazione Ceur - Centro europeo università e ricerca;11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;0805;CLR;Fondazione Ceur - Centro europeo università e ricerca;12;Studenti che usufruiscono delle mense;1388
2024;0806;CLR;Fondazione Collegio San Carlo di Modena;9;Pasti erogati in mense a gestione diretta;0
2024;0806;CLR;Fondazione Collegio San Carlo di Modena;10;Pasti erogati in mense a gestione indiretta;49682
2024;0806;CLR;Fondazione Collegio San Carlo di Modena;11;Pasti erogati in servizi di ristorazione convenzionati;1000
2024;0806;CLR;Fondazione Collegio San Carlo di Modena;12;Studenti che usufruiscono delle mense;124
2024;1002;CLR;Collegio della Sapienza - Fondazione ONAOSI di Perugia;9;Pasti erogati in mense a gestione diretta;35966
2024;1002;CLR;Collegio della Sapienza - Fondazione ONAOSI di Perugia;10;Pasti erogati in mense a gestione indiretta;0
2024;1002;CLR;Collegio della Sapienza - Fondazione ONAOSI di Perugia;11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;1002;CLR;Collegio della Sapienza - Fondazione ONAOSI di Perugia;12;Studenti che usufruiscono delle mense;60
2024;1210;CLR;"Fondazione  ''Comunità  Domenico Tardini""";9;Pasti erogati in mense a gestione diretta;0
2024;1210;CLR;"Fondazione  ''Comunità  Domenico Tardini""";10;Pasti erogati in mense a gestione indiretta;19699
2024;1210;CLR;"Fondazione  ''Comunità  Domenico Tardini""";11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;1210;CLR;"Fondazione  ''Comunità  Domenico Tardini""";12;Studenti che usufruiscono delle mense;99
2024;1211;CLR;Associazione Cuir ;9;Pasti erogati in mense a gestione diretta;88902
2024;1211;CLR;Associazione Cuir ;10;Pasti erogati in mense a gestione indiretta;0
2024;1211;CLR;Associazione Cuir ;11;Pasti erogati in servizi di ristorazione convenzionati;0
2024;1211;CLR;Associazione Cuir ;12;Studenti che usufruiscono delle mense;80
2024;1212;CLR;Fondazione Rui - ROMA;9;Pasti erogati in mense a gestione diretta;263868
2024;1212;CLR;Fondazione Rui - ROMA;10;Pasti erogati in mense a gestione indiretta;0
