DATA;TIPOLOGIA_COLLEGIO;CODICE_COLLEGIO;NOME_COLLEGIO;CODICE_TIPOLOGIA_PERSONALE;DESCRIZIONE_TIPOLOGIA_PERSONALE;NUMERO
31/12/2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";87;Dipendente dall'Ente full time a tempo indeterminato maschio;11
31/12/2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";88;Dipendente dall'Ente full time a tempo indeterminato femmina;13
31/12/2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";89;Dipendente dall'Ente part time a tempo indeterminato maschio;0
31/12/2024;CLR;0102;"Collegio universitario di Torino ''Renato Einaudi""";90;Dipendente dall'Ente part time a tempo indeterminato femmina;0
31/12/2024;CLR;0313;"Almo Collegio ''Borromeo""";87;Dipendente dall'Ente full time a tempo indeterminato maschio;13
31/12/2024;CLR;0313;"Almo Collegio ''Borromeo""";88;Dipendente dall'Ente full time a tempo indeterminato femmina;4
31/12/2024;CLR;0313;"Almo Collegio ''Borromeo""";89;Dipendente dall'Ente part time a tempo indeterminato maschio;5
31/12/2024;CLR;0313;"Almo Collegio ''Borromeo""";90;Dipendente dall'Ente part time a tempo indeterminato femmina;4
31/12/2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;87;Dipendente dall'Ente full time a tempo indeterminato maschio;7
31/12/2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;88;Dipendente dall'Ente full time a tempo indeterminato femmina;11
31/12/2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;89;Dipendente dall'Ente part time a tempo indeterminato maschio;2
31/12/2024;CLR;0314;Collegio Nuovo - Fondazione Sandra e Enea Mattei;90;Dipendente dall'Ente part time a tempo indeterminato femmina;0
31/12/2024;CLR;0316;Collegio universitario Ghislieri;87;Dipendente dall'Ente full time a tempo indeterminato maschio;10
31/12/2024;CLR;0316;Collegio universitario Ghislieri;88;Dipendente dall'Ente full time a tempo indeterminato femmina;15
31/12/2024;CLR;0316;Collegio universitario Ghislieri;89;Dipendente dall'Ente part time a tempo indeterminato maschio;0
31/12/2024;CLR;0316;Collegio universitario Ghislieri;90;Dipendente dall'Ente part time a tempo indeterminato femmina;0
31/12/2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";87;Dipendente dall'Ente full time a tempo indeterminato maschio;3
31/12/2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";88;Dipendente dall'Ente full time a tempo indeterminato femmina;2
31/12/2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";89;Dipendente dall'Ente part time a tempo indeterminato maschio;2
31/12/2024;CLR;0317;"Collegio universitario ''S. Caterina da Siena""";90;Dipendente dall'Ente part time a tempo indeterminato femmina;4
31/12/2024;CLR;0318;Fondazione Collegio delle Università Milanesi;87;Dipendente dall'Ente full time a tempo indeterminato maschio;3
