GRADO,MATERIA,escs_wle_gap_q4_q1,school_year
G02,ITALIANO,,2024-2025
G02,MATEMATICA,,2024-2025
G05,INGLESE Listening,17.598777248917997,2024-2025
G05,INGLESE Reading,21.132975527099006,2024-2025
G05,ITALIANO,31.422655603858004,2024-2025
G05,MATEMATICA,27.503840169118007,2024-2025
G10,ITALIANO,25.399681046066007,2024-2025
G10,MATEMATICA,23.248507656898,2024-2025
G10 - Altri licei,ITALIANO,,2024-2025
G10 - Altri licei,MATEMATICA,,2024-2025
G10 - Istituti professionali,ITALIANO,,2024-2025
G10 - Istituti professionali,MATEMATICA,,2024-2025
G10 - Istituti tecnici,ITALIANO,,2024-2025
G10 - Istituti tecnici,MATEMATICA,,2024-2025
G10 - Licei scientifici,MATEMATICA,,2024-2025
G10 - Licei scientifici classici e linguistici,ITALIANO,,2024-2025
