AteneoCOD,Isc
5801,224872.0
6307,207184.0
3701,170085.0
101,156326.0
6301,144500.0
2801,143552.0
5814,120560.0
1501,116406.0
4801,111306.0
1301,106020.0
1502,96055.0
5001,88920.0
8201,88018.0
1504,84090.0
7201,81061.0
8701,79172.0
1509,72442.0
102,70340.0
5807,68859.0
6501,65487.0
1001,63893.0
5802,61794.0
3401,61108.0
5401,57759.0
3801,53838.0
1801,52602.0
2301,51728.0
3601,51431.0
8301,50813.0
9201,49973.0
7801,46694.0
6306,46574.0
5810,42402.0
6901,41465.0
7501,38995.0
2701,38333.0
5815,38093.0
1601,37862.0
3201,34599.0
5813,34575.0
6601,33641.0
2201,33354.0
1701,32243.0
4201,31851.0
5201,29744.0
5816,29636.0
3001,29411.0
6302,28327.0
201,28115.0
1503,27821.0
