FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,"'Stato dell""'osservazione'"
Q,Trimestrale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2025-Q2,532.6,,
Q,Trimestrale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2025-Q2,1070.708,,
Q,Trimestrale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2025-Q2,1093.418,,
Q,Trimestrale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2025-Q2,1748.172,,
Q,Trimestrale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2025-Q2,172.818,,
Q,Trimestrale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2025-Q2,329.323,,
Q,Trimestrale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2025-Q2,335.742,,
Q,Trimestrale,ITCD,Nord,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2025-Q2,511.353,,
Q,Trimestrale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2025-Q2,102.136,,
Q,Trimestrale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2025-Q2,204.037,,
Q,Trimestrale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2025-Q2,208.587,,
Q,Trimestrale,ITC,Nord-ovest,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2025-Q2,317.636,,
Q,Trimestrale,ITD,Nord-est,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2025-Q2,70.682,,
Q,Trimestrale,ITD,Nord-est,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2025-Q2,125.286,,
Q,Trimestrale,ITD,Nord-est,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2025-Q2,127.155,,
Q,Trimestrale,ITD,Nord-est,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2025-Q2,193.717,,
Q,Trimestrale,ITE,Centro,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2025-Q2,87.705,,
Q,Trimestrale,ITE,Centro,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2025-Q2,161.809,,
Q,Trimestrale,ITE,Centro,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2025-Q2,169.378,,
Q,Trimestrale,ITE,Centro,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2025-Q2,274.381,,
Q,Trimestrale,ITFG,Mezzogiorno,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2025-Q2,272.078,,
Q,Trimestrale,ITFG,Mezzogiorno,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2025-Q2,579.577,,
Q,Trimestrale,ITFG,Mezzogiorno,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2025-Q2,588.298,,
Q,Trimestrale,ITFG,Mezzogiorno,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2025-Q2,962.438,,
